district,amount_rs_in_lakhs,disbursement_no_of_cases,no_of_cases_sponsored,pending_with_bank_for_disbursement_no_of_cases,sanction_ed,subsidy_involved_in_sanctioned_cases_rs_in_lakhs,subsidy_released_no_of_cases,total_project_cost_involved_in_sanctioned_cases_rs_in_lakhs
Alipurduar,385.85,4446.0,11915.0,367.0,5199.0,3708.67,4984.0,14551.94
Bankura,824.02,15158.0,38087.0,1215.0,18970.0,11244.0,17181.0,43232.48
Birbhum,458.38,19988.0,44789.0,803.0,24082.0,13101.05,21850.0,50622.65
Cooch Behar,320.68,14151.0,33261.0,571.0,16619.0,8481.34,14897.0,31597.08
Dakshin Dinajpur,244.51,10921.0,23588.0,403.0,12596.0,5632.63,11946.0,26968.27
Darjeeling,70.11,2935.0,10408.0,72.0,4162.0,2173.47,3316.0,8364.83
Hooghly,438.9,18254.0,49100.0,495.0,20486.0,13838.51,19345.0,50469.94
Howrah,282.11,14188.0,41578.0,418.0,15675.0,7342.88,15129.0,28922.7
Jalpaiguri,748.95,11874.0,25635.0,1078.0,15497.0,10527.74,13852.0,45798.03
Jhargram,10.37,726.0,3192.0,9.0,1170.0,1437.24,735.0,4960.76
Kalimpong,0.0,1.0,47.0,0.0,22.0,24.51,1.0,85.76
Kolkata,426.89,8882.0,24301.0,494.0,10712.0,5447.67,10729.0,21423.36
Malda,170.08,15448.0,64010.0,198.0,18221.0,10849.1,16278.0,47363.24
Murshidabad,536.83,22240.0,45056.0,767.0,24586.0,14375.91,24052.0,60461.48
Nadia,194.72,15821.0,45389.0,289.0,19214.0,10546.76,16812.0,41461.85
Paschim Bardhaman,134.06,288.0,1048.0,148.0,450.0,424.58,436.0,1445.54
Paschim Medinipur,310.41,17627.0,61710.0,334.0,23029.0,17150.25,18456.0,71415.27
Purba Bardhaman,1313.28,22798.0,64990.0,1663.0,28028.0,19190.81,25689.0,75699.3
Purba Medinipur,622.0,18870.0,33642.0,835.0,20792.0,13079.63,20424.0,45955.85
Purulia,308.7,9489.0,27763.0,418.0,12293.0,7161.29,10220.0,30370.15
Uttar Dinajpur,234.41,11375.0,24862.0,320.0,12794.0,8230.36,11939.0,31748.21
