district,disb_amt,kishore_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,total_no_of_a_cs
Alipurduar,23.63,105.0,23.64,8709.0,4.0,8818.0
Bankura,60.67,1182.0,68.28,12534.0,197.0,13913.0
Birbhum,99.32,2370.0,105.61,18690.0,185.0,21245.0
Cooch Behar,61.83,906.0,64.89,13954.0,111.0,14971.0
Dakshin Dinajpur,37.17,523.0,41.46,12332.0,53.0,12908.0
Howrah,156.14,2066.0,165.14,39448.0,260.0,41774.0
Jalpaiguri,111.73,1254.0,124.29,34997.0,191.0,36442.0
Kolkata,278.73,2668.0,298.9,62026.0,1036.0,65730.0
Malda,95.23,1225.0,102.13,27096.0,156.0,28477.0
Murshidabad,196.2,1895.0,214.26,69305.0,208.0,71408.0
Nadia,168.35,1575.0,185.01,53196.0,278.0,55049.0
North 24 Parganas,263.05,3411.0,285.06,72359.0,524.0,76294.0
Paschim Medinipur,115.37,2340.0,130.57,23548.0,339.0,26227.0
Purba Bardhaman,271.26,3437.0,291.4,65529.0,593.0,69559.0
Purba Medinipur,110.02,2102.0,117.75,19315.0,294.0,21711.0
South 24 Parganas,198.26,2476.0,214.36,60230.0,304.0,63010.0
Uttar Dinajpur,47.47,717.0,52.35,12301.0,102.0,13120.0
