District,Total Branch,Total Deposit,Total Advance,Overall CD Ratio
Arwal,,141912,47007,
Bhagalpur,,1250285,464742,37.17
Bhojpur,,973452,277004,28.46
Darbhanga,,990957,338087,34.12
Gaya,,1410509,536092,38.01
Gopalganj,,666922,233265,34.98
Jehanabad,,287846,95725,33.26
Lakhisarai,,264978,102254,38.59
Madhubani,,744397,254236,
Munger,,156051,180994,29.91
Nalanda,,861961,297764,34.54
Nawada,,438933,172552,
Patna,,10674761,4063429,36.72
Saran,,1590661,318806,
Sitamarhi,,525621,208699,39.71
Siwan,,1014876,338174,33.32
