district,SHG Amt. % NPA,Amt. NPA SHG,No. NPA SHG,SHG Amt. O/S,No. O/S SHG,Credit Current Amount FY Linked,FY Linked No Credit Current,FY Amount Linked Current Savings,No FY Linked Savings Current,Credit During Amount Quarter the Linked,ter the No Linked During Credit Quar-,Linked Quarter During the Amount Savings,Linked During Savings Quarter No the
East Garo Hills,18.88,25.61,29,135.65,130,277.94,165,77.81,648,116.5,67,77.59,634
East Jaintia Hills,0.55,13.21,9,2393.22,1407,1751.5,540,5.56,184,843,327,1.11,94
East Khasi Hills,0.9,34.98,33,3868.38,2580,3204.09,888,250.35,818,1108.13,369,225.75,547
North Garo Hills,6.01,13.89,14,231.25,180,474.35,281,204.52,1363,101.05,78,203.92,1334
Ri Bhoi,2.64,64.97,81,2461.31,1800,1262.88,310,143.58,507,457,134,134.69,376
South Garo Hills,30.64,45.65,72,148.98,196,52.7,55,239.08,767,32.14,35,238.69,749
West Garo Hills,4.42,87.36,176,1977.6,1590,1853.07,593,476.16,1912,399.01,209,448.26,1724
West Jaintia Hills,0.63,17.8,18,2838.72,1660,2154.68,547,129.55,280,950,275,114.29,105
West Khasi Hills,0.68,15.31,35,2243.1,1087,1309.73,290,13.66,102,415.5,115,9.85,46
