district,Self Groups Help No,DRI scheme Amt,DRI scheme No,Amt Scheduled Tribes,No Scheduled Tribes,Castes Amt Scheduled,Castes No Scheduled,ginal Small Amt and Farmers Mar-,al Small and Farmers No Margin-
East Garo Hills,687,0,0,672.11,446,10.43,7,3266.61,5205
East Jaintia Hills,1407,2.57,33,6619.08,3864,22.58,10,3256.62,3341
East Khasi Hills,3126,29.76,135,101298.79,43333,2917.28,1285,22059.16,30321
Eastern West Khasi Hills,1057,1.65,9,8138.45,8413,0,0,5187.07,7956
North Garo Hills,768,1.56,6,1100.7,900,18.46,7,3957.86,6073
Ri Bhoi,1817,4.53,23,17566.88,15933,643.27,396,26054.75,36919
South Garo Hills,463,0,0,663.61,518,11.92,13,1669.59,3408
South West Garo Hills,726,0,0,1442.95,1233,4.68,1,3107.76,4523
South West Khasi Hills,636,0,0,2929.54,2984,0,0,2025.96,2723
West Garo Hills,2126,0,0,36625.6,5791,261.14,120,8762,17260
West Jaintia Hills,1870,5.7,23,18920.24,7399,157.89,70,6049.76,7103
West Khasi Hills,1098,1.27,13,7735.04,6295,22.34,6,5950.63,8812
