district,Tot Agri Amt. (PS) NPA,Tot Agri No. (PS) NPA,Ancillary Amt,Ancillary No,Agri Infra Amt,Agri Infra No,Term Loan Amt,Term Loan No,Crop Amt,Crop No
East Garo Hills,1197.6,3055,12.62,7,558.96,1609,45.83,84,580.19,1355
East Jaintia Hills,178.46,367,13.58,9,117.39,280,9.56,26,37.93,52
East Khasi Hills,4639.58,5658,894.57,113,1185.15,767,206.93,421,2352.93,4357
North Garo Hills,1917.58,4403,27.22,11,591.97,1675,44.28,51,1254.11,2666
Ri Bhoi,8704.4,14962,87.17,26,777.31,1588,136.73,414,7703.19,12934
South Garo Hills,873.77,2296,5.07,4,501.6,1257,55.11,95,311.99,940
South West Garo Hills,1816.42,4861,4.88,2,723.01,2173,27.4,65,1061.13,2621
South West Khasi Hills,258.04,312,0,0,161.21,123,16.2,15,80.63,174
West Garo Hills,3249.12,8151,103.38,32,823.37,2949,261.13,548,2061.24,4622
West Jaintia Hills,1264.86,1916,141.68,93,249.66,269,43.36,101,830.16,1453
West Khasi Hills,1863.78,3255,9.12,3,133.19,421,27.72,40,1693.75,2791
