district,Tot (PS) Amt. NPA Other,Tot (PS) No. NPA Other,Amt Other PS,No Other PS,able Amt Renew-,able No Renew-,Social Amt Infra,Infra Social No,Amt Housing PS,PS No Housing,PS Amt Education,PS No Education,Amt Export,No Export
East Garo Hills,76.18,52,4.14,22,0,0,13.47,5,47.4,20,11.17,5,0,0
East Jaintia Hills,539.92,18,521.89,11,0,0,3.67,2,1.81,1,12.55,4,0,0
East Khasi Hills,1974.07,1195,1447.84,1064,0,0,37.1,13,250.42,32,238.71,86,0,0
North Garo Hills,217.38,82,0,0,0,0,14.64,8,180.8,69,21.94,5,0,0
Ri Bhoi,130.17,100,58.47,77,0,0,6.74,3,30.94,7,34.02,13,0,0
South Garo Hills,101.62,45,0,0,0,0,24.74,12,76.88,33,0,0,0,0
West Garo Hills,413.81,128,42.16,58,0,0,42.6,13,303.92,49,25.13,8,0,0
West Jaintia Hills,263.08,60,165.04,23,0,0,15.48,10,51.72,15,30.84,12,0,0
West Khasi Hills,85.53,21,51.31,6,0,0,2.61,1,8.94,3,22.67,11,0,0
