District,KCC No.,Disbursed Amt,Total KCC No.,Outstanding Amt,Ru Pay Card No.,Card Activated,AH KCC No.,AH Disbursed Amt
East Garo Hills,592,401.81,4235,2001.15,1001,736,0,0
East Jaintia Hills,58,32.66,799,513.00,80,69,0,0
East Khasi Hills,2817,1746.03,21398,11752.64,7539,5323,23,17.26
North Garo Hills,201,169.08,6639,2523.85,1598,1071,0,0
Ri Bhoi,3577,2264.95,22271,12872.88,9493,7513,3,6.04
South Garo Hills,71,31.04,1215,431.29,120,73,0,0
South West Garo Hills,940,545.88,5058,2427.16,1055,637,0,0
South West Khasi Hills,126,86.13,2351,1283.94,198,160,0,0
West Garo Hills,1303,657.59,7778,3925.09,1261,939,0,0
West Jaintia Hills,674,410.4,8284,4379.53,871,678,5,3.03
West Khasi Hills,596,337.05,9802,5808.67,4695,3566,1,1
