District,Total Deposits,Total Advances,Cdr Pct,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch
East Garo Hills,46102.61,21897,47.5,7,7,1,15
East Jaintia Hills,123412.79,17026.88,13.8,19,3,0,22
East Khasi Hills,1896575.73,749168.63,40,49,27,111,187
North Garo Hills,32163.94,15196.9,47.25,7,3,0,10
Ri Bhoi,169741.14,156677.68,92.3,34,15,1,50
South Garo Hills,26794.47,9246.89,34.51,3,3,1,7
South West Garo Hills,32077.23,16796.35,52.36,10,3,0,13
South West Khasi Hills,26974.33,7664.9,28.42,6,1,0,7
West Garo Hills,202425.42,92403.91,45.65,18,19,5,42
West Jaintia Hills,245608.43,62891.18,25.61,20,21,3,44
West Khasi Hills,85113.49,31004.62,36.43,15,12,2,29
