District,Total NPS O/S Amt,Total NPS O/S No.,Other Amt (NPS),Other No. (NPS),Personal Loan Amt,Personal Loan No.,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS)
East Garo Hills,3339.77,1615,1751.21,1112,1440.01,498,148.55,5,0,0
East Jaintia Hills,5403.56,2675,3585.5,2182,1208.58,485,597.91,7,11.57,1
East Khasi Hills,236402,33873,188370.93,21889,33157.05,11334,13761.31,529,1112.71,121
North Garo Hills,2387.38,486,46.88,151,563.99,262,1776.51,73,0,0
South Garo Hills,572.47,313,89.97,144,406.05,165,76.45,4,0,0
South West Garo Hills,797.63,583,460.99,421,263.33,159,73.31,3,0,0
South West Khasi Hills,1270.14,460,141.1,90,837.78,368,291.26,2,0,0
West Garo Hills,24610.15,5608,7911.43,2861,6374.8,2405,10264.25,330,59.67,12
West Jaintia Hills,30283.7,4139,7159.56,2206,4041.27,1341,19033.48,588,49.39,4
West Khasi Hills,5469.01,2441,789.25,880,4266.88,1545,363.09,11,49.79,5
