District,No. of A/C,Total O/S,Demand Raised,Recovery Amt,Pct,Overdues Amt,Overdues Pct,Gross NPA Amt,Gross NPA Pct
Baksa,32236,16983.96,6737.57,2999.37,45,3738.2,55,5039.94,30
Barpeta,134430,68459.85,21081.2,7439.88,35,13641.32,65,13651.7,20
Biswanath,39872,23828.94,9888.17,4857.08,49,5031.09,51,4508.27,19
Bongaigaon,39991,24616.66,4653.35,2069.34,44,2584.01,56,2929.79,12
Cachar,106819,69555.77,11427.06,3880.04,34,7547.02,66,9306.68,13
Charaideo,26224,13727.31,3650.52,1815.07,50,1835.45,50,1485.55,11
Chirang,21049,11767.08,4384.84,1563.38,36,2821.46,64,2710.75,23
Darrang,68827,37053.35,11257.95,4200.48,37,7057.47,63,9747.17,26
Dhemaji,42538,23021.21,9837.87,4333.02,44,5504.85,56,5348.71,23
Dhubri,96309,51283.08,9680.71,3263.24,34,6417.47,66,7568.9,15
Dibrugarh,138537,79208.08,26340.4,9795.71,37,16544.69,63,15536.81,20
Dima Hasao,4240,3579.43,1678.76,859.31,51,819.45,49,212.97,6
Goalpara,47808,25384.48,7194.74,2703.89,38,4490.85,62,6339.34,25
Golaghat,152706,75849.13,19335.12,7925.85,41,11409.27,59,12789.06,17
Hailakandi,27874,14851.62,4664.5,1481.3,32,3183.2,68,3510.96,24
Hojai,32597,20123.76,5488.1,2077.37,38,3410.73,62,4213.73,21
Jorhat,141876,73399.03,13933.78,5453.09,39,8480.69,61,10239.25,14
Kamrup Metro,150019,98751.47,22378.58,8175.14,37,14203.44,63,16162.38,16
Karbi Anglong,38061,18750.51,7759.27,3434.45,44,4324.82,56,2410.78,13
Karimganj,58408,31496.73,4202.53,1897.4,45,2305.13,55,3721.17,12
Kokrajhar,25102,14665.47,5728.51,2391.74,42,3336.77,58,3686.04,25
Lakhimpur,105797,56873.49,21414.11,8782.19,41,12631.92,59,10736.7,19
Majuli,8912,5134.96,1879.31,581.36,31,1297.95,69,1326.61,26
Morigaon,110219,64241.6,9615.07,4292.79,45,5322.28,55,6048.21,9
Nagaon,217752,109237.81,23271.09,7874.36,34,15396.73,66,21127.63,19
Nalbari,73635,32139.63,11000.03,5006.36,46,5993.67,54,6955.61,22
Sivasagar,98345,45481.17,9624.49,3608.18,37,6016.31,63,7229.16,16
Sonitpur,118234,62788.03,10430,4413.02,42,6016.98,58,7434.81,12
South Salmara,2981,1962.54,755.28,192.55,25,562.73,75,896.09,46
Tinsukia,94012,70232.87,16551.52,5602.22,34,10949.3,66,10014.88,14
Udalguri,49560,30636.31,14349.28,3986.14,28,10363.14,72,13059.63,43
West Karbi Anglong,16631,7660.98,4668.46,1764.81,38,2903.65,62,1572.83,21
