District,CY.SISHU NO,CY.SISHU AMT,SISHU O/S no,SISHU O/S Amt,CY.KISHORE NO,CY.KISHORE AMT,KISHORE O/S no,KISHORE O/S Amt,CY.TARUN NO,CY.TARUN AMT,TARUN O/S no,TARUN O/S Amt,TOTAL SANCTIONED A/C,TOTAL SANCTIONED AMT,TOTAL O/S A/C,TOTAL O/S AMT
Baksa,97,36.42,1605,406.41,170,291.21,1260,1831.97,22,134.76,91,562.09,289,462.39,2956,2800.47
Barpeta,21084,7937.18,31545,6728.63,2464,3317.89,6302,8678.58,265,1744.88,663,3948.55,23813,12999.95,38510,19355.76
Biswanath,4668,1879.46,6551,1737.4,530,606.75,1844,2308.29,34,247.84,109,713.26,5232,2734.05,8504,4758.95
Bongaigaon,11997,4525.81,15618,3524.11,975,1145.83,2383,2672.61,191,1309.7,368,2189.3,13163,6981.34,18369,8386.02
Cachar,27177,10669.62,32709,8425.17,2787,3884.6,6231,7632.92,271,1701.55,512,3060.84,30235,16255.77,39452,19118.93
Charaideo,3340,1325.62,4347,1199.27,524,747.47,1249,1557.67,82,604.73,137,865.48,3946,2677.82,5733,3622.42
Chirang,3224,1367.14,3857,1077.18,316,468.2,1384,1984.53,49,335.98,89,565.69,3589,2171.32,5330,3627.4
Darrang,8732,3366.92,12959,2707.3,1124,1603.52,3470,5047.59,102,711.8,360,2286.38,9958,5682.24,16789,10041.27
Dhemaji,5676,2251.97,7369,1837.12,787,1139.34,1978,2881.04,77,587.21,254,1701.7,6540,3978.52,9601,6419.86
Dhubri,25757,10441.86,27938,7953.24,2114,2013.3,3780,3817.95,112,792.8,245,1456.28,27983,13247.96,31963,13227.47
Dibrugarh,18521,6771.89,30825,6603.86,2052,3236.51,5677,8990.24,596,3945.22,1553,9665.06,21169,13953.62,38055,25259.16
Dima Hasao,291,82.78,463,95.59,196,305.99,1092,2294.06,36,222.35,646,3120.93,523,611.12,2201,5510.58
Goalpara,11108,3596.34,14035,2623.48,625,728.64,1884,2127.61,43,290.93,226,1580.13,11776,4615.91,16145,6331.22
Golaghat,15655,5857.4,20181,4746.77,1405,1779.62,4129,4916.91,174,1199.79,479,2906.2,17234,8836.81,24789,12569.88
Hailakandi,4659,1859.09,5436,1577.44,716,887.86,2007,2597.98,89,611.19,243,1430.66,5464,3358.14,7686,5606.08
Hojai,9124,3784.36,11066,2978.79,934,1153.54,2773,4105.74,110,798.1,351,2357.93,10168,5736,14190,9442.46
Jorhat,19210,7184.04,32876,6981.69,1603,2669.31,4203,6033.87,309,2096.53,676,4523.21,21122,11949.88,37755,17538.77
Kamrup Metro,39753,14236.9,60212,11627.19,2692,3431.83,6847,9703.93,253,1619.1,848,5358.49,42698,19287.83,67907,26689.61
Karbi Anglong,1620,439.95,2217,519.31,538,932.16,2059,3563.28,102,770.05,1906,8868.5,2260,2142.16,6182,12951.09
Karimganj,20727,7879.89,24199,5764.98,1247,1629.03,3176,4127.72,100,724.44,290,1890,22074,10233.36,27665,11782.7
Kokrajhar,250,85.54,1389,404.49,295,509.9,1690,2541.71,51,341.6,111,722.9,596,937.04,3190,3669.1
Lakhimpur,6895,2895.77,10850,2850.16,1891,2893.4,4919,7068.64,191,1466.49,693,4204.07,8977,7255.66,16462,14122.87
Majuli,72,26.23,369,132.56,100,238.2,410,660.51,13,96.53,39,199.45,185,360.96,818,992.52
Morigaon,12565,5073.48,16715,4424.63,1285,1620.26,3736,4662.93,132,873,341,2116.96,13982,7566.74,20792,11204.52
Nagaon,26426,9960.25,42411,9118.32,2797,3994.33,9856,14019.37,477,3378.91,1142,7685.59,29700,17333.49,53409,30823.28
Nalbari,11267,4143.22,24030,4848.3,838,1193.56,5576,4425.92,74,555.71,254,1735.58,12179,5892.49,29860,11009.8
Sivasagar,9862,4039.44,14704,3802.09,1763,2423.97,3904,4905.57,267,1983.06,611,3870.81,11892,8446.47,19219,12578.47
Sonitpur,18755,7050.94,27022,5813.87,2690,3666.29,5832,8044.07,352,2478.03,783,4894.85,21797,13195.26,33637,18752.79
South Salmara,16,5,191,41.5,300,574.06,895,1354.66,45,308.79,87,500.4,361,887.85,1173,1896.56
Tinsukia,11523,4899.59,17918,4532.19,1955,3037.57,4440,8237.6,444,2952.63,999,6392.84,13922,10889.79,23357,19162.63
Udalguri,159,64.5,1919,560.25,509,798.95,1596,2140.98,38,252.34,62,383.04,706,1115.79,3577,3084.27
West Karbi Anglong,5,1.68,298,82.22,42,46.98,330,568.99,9,63.76,562,2216.75,56,112.42,1190,2867.96
