District,Deposit Amount (D),Advance Amount (A),Current C:D Ratio
Baksa,103383.8,49123.48,47.52
Barpeta,424569.22,268477.94,63.24
Biswanath,158475.24,76829.81,48.48
Bongaigaon,294038.8,155220.21,52.79
Cachar,824533.77,342485.62,41.54
Charaideo,94403.09,42247.36,44.75
Chirang,120707.56,51708.52,42.84
Darrang,210284.52,127174.81,60.48
Dhemaji,150935.96,91833.99,60.84
Dhubri,294654.8,164881.41,55.96
Dibrugarh,1036988.32,449672.93,43.36
Dima Hasao,88987.08,28622.81,32.17
Goalpara,215713.22,98974.95,45.88
Golaghat,318998.69,219045.97,68.67
Hailakandi,157623,62289.97,39.52
Hojai,218737.89,82419.62,37.68
Jorhat,645627.18,354678.64,54.94
Kamrup Metro,562713.67,384992.98,68.42
Karbi Anglong,173442.58,89455.36,51.58
Karimganj,359887.81,122109.88,33.93
Kokrajhar,287417.3,86090.53,29.95
Lakhimpur,273887.22,191671.97,69.98
Majuli,36071.81,17525.68,48.59
Morigaon,176525.76,132614.67,75.12
Nagaon,551942.28,355952.22,64.49
Nalbari,263718.46,145467.93,55.16
Sivasagar,430019.43,238516.48,55.47
Sonitpur,519672.43,307297.61,59.13
South Salmara,25869.53,9408.61,36.37
Tinsukia,619980.44,315871.27,50.95
Udalguri,120218.97,82689.67,68.78
West Karbi Anglong,40951.73,27989.09,68.35
