district,Target,Disbursement No,Disbursement Amount,O/S No,O/S Amount
Baksa,760,537,612.65,1058,971.74
Barpeta,1267,951,1283,2116,1773.7
Biswanath,2563,1057,1366.14,2239,1911.88
Bongaigaon,1859,576,885.07,1268,1341.23
Cachar,1127,464,623.49,1125,762.6
Charaideo,2169,693,1180.53,1414,1057.27
Chirang,2620,779,1150.78,1316,1306.61
Darrang,676,508,844.62,1176,1055.52
Dhemaji,2704,783,1146.76,1911,1208.63
Dhubri,1380,414,515.31,740,528.01
Dibrugarh,3127,1240,1836.84,1980,1688.63
Dima Hasao,5,28,36.43,115,71.29
Goalpara,704,637,674.99,1528,1128.61
Golaghat,3916,1330,2759.34,2524,2498.22
Hailakandi,788,378,425.07,947,640.68
Hojai,1042,569,697.34,1568,1040.4
Jorhat,3155,1151,2268.13,2297,2027.55
Kamrup Metro,4395,1421,1755.11,2699,2272.77
Karbi Anglong,5,136,202.64,1370,760.47
Karimganj,1070,489,490.69,1040,645.7
Kokrajhar,253,269,273.56,629,457.4
Lakhimpur,3690,1371,1807.94,3080,2321.51
Majuli,366,292,463.38,721,545.02
Morigaon,2958,853,996.94,2523,1676.34
Nagaon,7522,1408,2009.24,3715,3309.24
Nalbari,3381,941,1844.4,2596,2998.57
Sivasagar,2535,980,1642.18,1635,1375.22
Sonitpur,2028,1385,2252.4,2891,2516.87
South Salmara,28,82,145.18,92,137.4
Tinsukia,2930,1028,1849.2,2026,1921.42
Udalguri,704,494,679.65,1134,1102.01
West Karbi Anglong,6,115,135.28,813,431.62
