district,NULM Town,Physical SEP-I (in Numbers),Financial (Amount in Lakh),Physical SEP-G (in Numbers),Physical SHG Bank Linkage (in Numbers)
Baksa,Goreswar TC,5,7,3,7
Barpeta,Barpeta MB,71,95,5,95
Biswanath,B. Chariali MB,16,22,4,22
Bongaigaon,Abhayapuri TC,44,59,5,59
Cachar,Lakhipur MB,105,140,5,140
Charaideo,Moran TC,13,18,4,18
Chirang,Basugaon TC,28,37,5,37
Darrang,Kharupetia TC,23,31,5,31
Dhemaji,Dhemaji TC,20,27,5,27
Dhubri,Bilasipara TC,82,109,5,109
Dibrugarh,Chabua TC,95,127,5,127
Dima Hasao,Haflong TC,32,43,5,43
Goalpara,Goalpara MB,36,48,4,48
Golaghat,Barpathar TC,47,63,5,63
Hailakandi,Hailakandi MB,24,32,4,32
Hojai,Doboka TC,61,82,5,82
Jorhat,Jorhat MB,62,83,5,83
Kamrup Metro,GMC,509,678,7,678
Kamrup Rural,Palasbari MB,17,23,4,23
Karbi Anglong,Bokajan TC,60,80,5,80
Karimganj,Badarpur TC,37,50,5,50
Kokrajhar,Gossaigaon TC,23,30,5,30
Lakhimpur,Bihpuria MB,48,64,5,64
Morigaon,Morigaon MB,15,20,5,20
Nagaon,Dhing MB,83,110,5,110
Nalbari,Nalbari MB,17,22,5,22
Sivasagar,Amguri MB,47,63,5,63
Sonitpur,Dhekiajuli MB,52,68,5,68
Tinsukia,Chapakhowa TC,102,137,5,137
Udalguri,Tangla TC,17,20,5,20
West Karbi Anglong,Donkamokam TC,9,12,5,12
