district,Current Year Number of Cards issued,Current Year Limit Sanctioned,O/S Position Number of Cards issued,O/S Position Limit Sanctioned
Baksa,4935,2358.36,18607,9090.48
Barpeta,19345,8136.45,60923,30331.14
Biswanath,7279,4868.89,23956,14217.91
Bongaigaon,8239,2935.25,19235,8840.24
Cachar,8452,4486.97,48675,29454.29
Charaideo,3230,1241.31,11254,6307.44
Chirang,4200,2274.16,11346,6209.04
Darrang,11159,4823.93,36516,17191.33
Dhemaji,5990,3264.31,24235,14328.36
Dhubri,7166,3403.05,32581,18621.78
Dibrugarh,15404,7144.45,68110,35289.64
Dima Hasao,45,47.58,2048,755.65
Goalpara,7361,3269.88,23663,10435.54
Golaghat,18397,8863.43,65337,32778.67
Hailakandi,5045,2280.41,17475,8839.79
Hojai,3566,1969.27,22747,14465.96
Jorhat,12915,5800.98,46592,22202.58
Kamrup Metro,26638,12439.9,74051,35977.99
Karbi Anglong,4310,2800.85,24151,9733.09
Karimganj,6522,2398.74,27620,13676.6
Kokrajhar,9508,5705,20717,11483.81
Lakhimpur,20228,10418.85,59511,33035.96
Majuli,1916,554.28,4505,2164.36
Morigaon,12288,5475.24,41883,18062.57
Nagaon,24738,9329.83,91170,44392.53
Nalbari,14368,4744.77,40576,14597.71
Sivasagar,10002,3830.99,34349,15292.95
Sonitpur,11007,6030.4,32046,17954.06
South Salmara,567,204.39,2271,767.76
Tinsukia,16938,10566.6,54017,33194.88
Udalguri,4755,3666.64,32177,19658.58
West Karbi Anglong,1546,891.86,13170,5425.9
