district,PMJDY No,PMJDY Cumml No,PMJJBY No,PMJJBY Cumml No,PMSBY No.,PMSBY Cumml No.,APY No,APY Cumml No
Baksa,32809,412178,4232,11646,8711,60206,1361,4701
Barpeta,75563,1070940,6626,22947,19315,142619,3090,17333
Biswanath,13171,303588,2802,11160,4781,29839,1723,9323
Bongaigaon,27069,361063,2132,30133,7671,134496,1498,6741
Cachar,60171,817599,7758,58432,17778,147938,2805,17512
Charaideo,11036,239181,922,8310,3952,22382,1601,5676
Chirang,13480,247174,3259,9513,5834,21826,593,2794
Darrang,50800,578708,5180,39486,10751,99811,2124,8551
Dhemaji,26892,612628,4850,33400,17827,86679,1343,9942
Dhubri,219482,1103357,4712,36548,26230,144995,2381,11300
Dibrugarh,31503,516427,13151,77738,24545,156471,4094,22433
Dima Hasao,1141,41879,197,18836,459,53154,215,4604
Goalpara,31755,498434,3302,40135,11304,89271,1565,7720
Golaghat,48607,620882,5649,50717,17591,122736,2935,14801
Hailakandi,27915,423713,4240,38885,10970,91208,1170,6675
Hojai,40447,533015,1096,9149,7166,37265,1089,5912
Jorhat,26043,407687,3210,44539,14526,145291,2333,16785
Kamrup Metro,50520,665881,5112,96332,14688,232350,4532,28279
Karbi Anglong,2771,107651,1572,47036,1404,107657,1435,18034
Karimganj,50207,645348,3014,36813,11461,89726,1610,8846
Kokrajhar,21560,451606,3625,30034,7782,70646,637,4764
Lakhimpur,32361,677063,5510,32996,20562,119351,2205,14136
Majuli,2214,112261,161,1402,1342,9922,253,1251
Morigaon,59289,649877,2796,39093,9942,105363,2041,10202
Nagaon,77191,1443532,9302,67787,19217,241580,3381,22884
Nalbari,23726,360110,3346,36109,7609,99336,1485,9993
Sivasagar,29043,312698,5365,54857,13233,110669,1941,11994
Sonitpur,52074,517063,5655,51592,11706,138594,5040,18039
South Salmara,9673,151469,137,199,29,1023,18,159
Tinsukia,41494,596201,7374,49661,13402,128112,3015,16042
Udalguri,23200,461389,3553,11514,4974,20867,1094,2826
West Karbi Anglong,72,90222,73,6886,128,15901,386,7191
