district,Target,Disbursement No,Disbursement Amount,O/S No,O/S Amount
Baksa,356,114,150.65,1139,1444.05
Barpeta,141,82,182.9,1391,1881.63
Biswanath,10,37,37.3,437,509.53
Bongaigaon,60,59,85.83,1073,1116.69
Cachar,80,116,185.58,1172,1594.46
Charaideo,67,44,106.78,488,575.36
Chirang,20,60,43.59,1448,1703.37
Darrang,107,104,63.11,1267,1831.79
Dhemaji,174,121,328.66,981,1681.63
Dhubri,376,190,463.15,3735,1752.79
Dibrugarh,168,137,272.77,1469,2031.88
Dima Hasao,40,30,66.33,1050,379.35
Goalpara,154,81,136.95,1048,3648.9
Golaghat,80,34,74.97,1064,1468.52
Hailakandi,67,57,63.79,682,876.64
Hojai,80,131,287.68,681,724
Jorhat,47,62,117.44,883,1167.09
Kamrup,262,336,225.09,1634,2129.42
Kamrup Metro,322,99,208.82,1253,2091
Karbi Anglong,20,25,26.63,324,271.64
Karimganj,94,120,152.36,673,866.95
Kokrajhar,80,143,140.88,2155,2627.57
Lakhimpur,67,234,160.35,1083,1544.49
Majuli,60,63,73.39,252,255.53
Morigaon,174,103,199.27,866,1252.73
Nagaon,134,140,289.03,2485,2525.7
Nalbari,240,97,115.6,1304,2015.93
Sivasagar,208,135,302.37,833,1433.15
Sonitpur,275,181,516.74,1555,2258.83
South Salmara,168,67,17.42,493,655.83
Tinsukia,107,101,263.2,909,1361.82
Udalguri,134,98,66.03,876,1227.66
West Karbi Anglong,10,0,0,49,49.77
