district,No. of A/C,Total O/S,Demand Raised,Recovery Amount,%,Overdues Amount,Overdues %,Gross NPA Amount,Gross NPA %
Baksa,50581,35982.83,12989.15,5166.21,40,7822.94,60,10358.63,29
Barpeta,227185,180223.86,37670.07,13897.83,37,23772.24,63,26028.17,14
Biswanath,59403,52939.79,15348.32,7336.04,48,8012.28,52,8377.41,16
Bongaigaon,93075,100725.23,10676.5,4923.38,46,5753.12,54,7043.56,7
Cachar,242532,241812.19,26194.58,11876.29,45,14318.29,55,19450.42,8
Charaideo,37539,29677.29,7101.71,3320.66,47,3781.05,53,4244.34,14
Chirang,40965,34013.98,8404.18,2823.36,34,5580.82,66,5943.44,17
Darrang,120269,89794.69,21700.72,8495.53,39,13205.19,61,18511.98,21
Dhemaji,78021,59961.23,15704.42,7627.24,49,8077.18,51,8556.12,14
Dhubri,173422,118960.89,18326.18,6506.78,36,11819.4,64,14422.13,12
Dibrugarh,241766,274867.3,48550.25,21815.04,45,26735.21,55,30521.57,11
Dima Hasao,6166,9709.42,2778.68,1673.81,60,1104.87,40,493.39,5
Goalpara,95138,63885.71,15254.87,5247.11,34,10007.76,66,13041.52,20
Golaghat,212724,153953.56,28791.64,13592,47,15199.64,53,18548.64,12
Hailakandi,50898,46546.32,7773.4,3204.8,41,4568.6,59,5833.69,13
Hojai,52861,53616.04,9626.8,4005.84,42,5620.96,58,7599.57,14
Jorhat,231835,231240.86,28362.13,12622.64,45,15739.49,55,20695.73,9
Kamrup,363419,249068.46,42990.44,19367.55,45,23622.89,55,28844.4,12
Kamrup Metro,248250,1089322.8,99005.7,52821.38,53,46184.32,47,90170.59,8
Karbi Anglong,53096,44115.58,19258.43,12291.35,64,6967.08,36,3501.35,8
Karimganj,123129,95225.37,11316.54,5659.09,50,5657.45,50,9023.21,9
Kokrajhar,35697,38387.58,12624.36,4698.37,37,7925.99,63,9046.7,24
Lakhimpur,169114,136916.75,31974.9,14010.48,44,17964.42,56,17558.07,13
Majuli,13005,14336.72,2837.88,939.33,33,1898.55,67,2101.58,15
Morigaon,143778,104662.53,15413.51,6473.47,42,8940.04,58,11902.42,11
Nagaon,334067,260416.85,39250.25,14873.61,38,24376.64,62,37959.22,15
Nalbari,131511,90374.92,24477.03,10665.18,44,13811.85,56,16397.03,18
Sivasagar,164959,139837.91,20065.77,9419.5,47,10646.27,53,14017.1,10
Sonitpur,239860,208425.75,22984.65,9959.05,43,13025.6,57,18320.53,9
South Salmara,4954,6839.69,2695.19,586.77,22,2108.42,78,2694.59,39
Tinsukia,175327,219986.13,30564.62,11265.92,37,19298.7,63,21697.19,10
Udalguri,69703,57658.05,20132.22,6212.44,31,13919.78,69,17703.15,31
West Karbi Anglong,18376,14564.02,8478.95,4822.86,57,3656.09,43,1718.63,12
