district,Urban Number,Urban Amount,Semi Urban Number,Semi Urban Amount,Rural Number,Rural Amount,Total Number,Total Amount
Baksa,0,0,104,298.96,911,6952.24,1015,7251.2
Barpeta,0,0,1884,18965.73,1668,14654.15,3552,33619.88
Biswanath,25,12.1,926,9314.24,650,5601.77,1601,14928.11
Bongaigaon,22,18.59,1988,19404.22,271,2274.8,2281,21697.61
Cachar,2953,23257.85,283,2870.99,615,5510.12,3851,31638.96
Charaideo,0,0,368,2854.37,161,1294.74,529,4149.11
Chirang,0,0,81,864.7,527,5463.94,608,6328.64
Darrang,42,89.81,1298,11579.74,394,3016.2,1734,14685.75
Dhemaji,24,22.19,1137,10330.48,638,5658.18,1799,16010.85
Dhubri,0,0,1683,12833.22,548,4508.45,2231,17341.67
Dibrugarh,3261,35783.02,1075,11080.14,1394,13676.27,5730,60539.43
Dima Hasao,0,0,206,2461.42,50,553.03,256,3014.45
Goalpara,16,2.88,786,7009.65,315,2482.51,1117,9495.04
Golaghat,27,26.37,1869,16952.83,768,7072.07,2664,24051.27
Hailakandi,0,0,1210,9357.44,74,481.65,1284,9839.09
Hojai,14,29.49,976,9221.37,143,1217.13,1133,10467.99
Jorhat,777,7092.18,3290,33303.59,1029,9279.88,5096,49675.65
Kamrup Metro,453,1891,1107,9118.25,2456,20972.22,4016,31981.47
Karbi Anglong,0,0,727,8271.44,775,8017.41,1502,16288.85
Karimganj,10,10.35,943,7230.06,304,2197.06,1257,9437.47
Kokrajhar,0,0,1000,8786.35,290,3339.9,1290,12126.25
Lakhimpur,42,14.55,2321,21443.85,1205,10311.5,3568,31769.9
Majuli,0,0,210,1733.29,140,1185.51,350,2918.8
Morigaon,24,38.72,1221,5642.56,576,4534.58,1821,10215.86
Nagaon,2412,21761.84,678,4892.45,1508,13486.39,4598,40140.68
Nalbari,157,495.03,1807,15649.06,1179,6829.35,3143,22973.44
Sivasagar,62,135.1,2220,20216.26,689,6226.08,2971,26577.44
Sonitpur,94,287.31,3053,28968.86,1205,9832.34,4352,39088.51
South Salmara,0,0,120,1227.02,111,979.23,231,2206.25
Tinsukia,1949,21667.6,665,6467.66,806,8044.19,3420,36179.45
Udalguri,17,18.95,1154,11380.66,319,2645.04,1490,14044.65
West Karbi Anglong,0,0,0,0,576,6063.86,576,6063.86
