District,CropProduction,Water Resources,Farm,Plantation,Animal Husbandry,Fishery,Agri Others,Agri Infrastructure,Anciliary Activities,Agri Total,Msme Term,Msme Working,Msme Total,Export Credit,Education,Housing,Service Others,Social Infra,Services Total,Total Achievement
Baksa,4247.13,23.33,201.65,22.59,1668.9,130.04000000000002,475.29,22.5,1317.5,8108.93,2261.92,3666.98,5928.9,0,78.71,1647.79,11.9,0,1738.4,15776.23
Barpeta,11679.66,78.03999999999999,851.66,63.14,9079.88,2583.43,14614.15,702.2,1558.44,41210.6,28147.88,8774.28,36922.16,0,1067.09,5699.61,116.84,49.08,6932.62,85065.38
Biswanath,5078.21,25.29,61.25,47.5,1920.91,111.66,409.41,21.72,491.14,8167.09,1931.31,1793.09,3724.3999999999996,0,422.28,1851.14,17.15,27.39,2317.96,14209.45
Bongaigaon,3755.77,37.9,393.15,22.1,2122.17,322.91,3444.34,417.54,1893.74,12409.62,20157.74,3840.68,23998.420000000002,0,578.49,3732.72,117.15,856.98,5285.34,41693.380000000005
Cachar,6932.04,162.65,1725.31,72.09,5169.61,3213.81,10220.21,507.13,3765.41,31768.260000000002,62931.97,10797.67,73729.64,0,3591.14,4954.16,118.09,17.62,8681.01,114178.90999999999
Charaideo,1605.24,120.14,717.32,26.05,1898.05,40.94,2963.59,590.2,427.72,8389.25,3663.2,964.14,4627.34,0,235.63,844.74,27.32,427.87,1535.56,14552.15
Chirang,3163.35,24.98,271.66999999999996,39.230000000000004,946.82,101.42,587.5,1905.7,565.39,7606.06,6497.9,1442.08,7939.98,0,243.2,1525.77,7.35,0,1776.32,17322.36
Darrang,5034.34,63.97,306.58,26.22,6120.72,390.67,4889.84,230.29,2039.73,19102.360000000004,14164.05,4676.98,18841.03,0,814.87,2486.7,71.96,301.73,3675.2599999999998,41618.65
Dhemaji,4467.23,37.29,113.44,27.740000000000002,3236.96,185.76,1053.4,108.32,502.79,9732.93,8023.9,2329.4,10353.3,0,419.72,3686.26,249.12,123.93,4479.030000000001,24565.260000000002
Dhubri,7129.19,340.12,1209.17,39.870000000000005,5237.92,388.9,14568.21,5584.6,3784.12,38282.1,32732.97,3079.32,35812.29,0,665.67,4283.78,73.49,16.5,5039.44,79133.83
Dibrugarh,13014.66,115.89,2653.35,178.61,7873.34,383.31,10022.64,671.8,8835.39,43748.990000000005,30194.41,28332.96,58527.369999999995,0,3262.89,7027.86,157.18,971.15,11419.08,113695.44
Dima Hasao,156.13,21,27,21,89.74,20,22,19,68.84,444.71000000000004,729.12,501.86,1230.98,0,100.14,506.39,15,4.39,625.92,2301.61
Goalpara,6924.86,30.240000000000002,271.32,198.24,3460.76,317.68,2193.02,464.42,714.45,14574.99,11975.11,2928.11,14903.220000000001,0,453.38,2606.83,63.23,0,3123.44,32601.649999999998
Golaghat,9865.62,328.94,6927.17,54.23,5616.69,383.57,14762.27,2345.12,2853.46,43137.07000000001,17342.72,4782.91,22125.63,0,997.27,3881.86,74.85,220.13,5174.110000000001,70436.81000000001
Hailakandi,2775.97,35.14,267.98,73.55,1029.02,99.26,2565.37,42.4,685.73,7574.42,8600.66,2209.27,10809.93,0,188.88,1316.38,2.78,0,1508.0400000000002,19892.39
Hojai,2654.14,23.95,62.84,20.55,798.52,59.91,336.64,19.65,1085.61,5061.8099999999995,3628.96,2151.49,5780.45,0,420.4,2299.66,12.83,0,2732.89,13575.149999999998
Jorhat,6502.66,234.42,1886.21,185.78,10779.3,611.61,9494.52,2807.72,9615.57,42117.79000000001,27225.6,13690.24,40915.84,0,2818.55,8631.48,212.31,261.74,11924.079999999998,94957.71
Kamrup Metro,14944.27,59.59,500.57,33.57,11885.18,2356.94,10345.25,191.9,1281.29,41598.56,52118.73,9082.37,61201.100000000006,0,4092.25,6287.02,334.6,206.28,10920.150000000001,113719.81
Karbi Anglong,3127.4,23.1,79.17,79.82,1404.05,48.84,341.85,20.69,150.91,5275.83,2523.69,1016.02,3539.71,0,491.11,5133.02,155.32,0,5779.45,14594.990000000002
Karimganj,2282.7,42.42,2038.39,22.009999999999998,2705.83,843.01,7231.49,299.9,3708.02,19173.77,27696.13,5963.99,33660.12,0,346.21,1291.48,95.56,0,1733.25,54567.14
Kokrajhar,4020.76,25.33,255.52,21.72,311.43,32.44,145.61,23.47,296.2,5132.4800000000005,737.71,2683.06,3420.77,0,304.3,3021.05,7.24,686.87,4019.46,12572.71
Lakhimpur,9835.55,45.06,359.89,22.61,9980.39,759.32,5347.74,411.81,1175.7,27938.07,15906.19,6282.62,22188.81,0,584.28,10447.25,126.78,296.35,11454.660000000002,61581.54000000001
Majuli,687.53,28.630000000000003,88.69,23.94,577.35,42.86,128.86,19,57.66,1654.5199999999998,565.93,187.23,753.16,0,60.82,854.85,1.84,366.41,1283.92,3691.6
Morigaon,6860.51,251.06,542.07,81.65,6256.82,2136.87,16088.2,1248.63,3695.81,37161.619999999995,11958.34,2247.75,14206.09,0,269.62,3772.83,4.74,17.58,4064.7699999999995,55432.47999999999
Nagaon,8394.94,296.59,1895.42,75.97,13168.97,3659.72,25654.97,1958.16,5484.67,60589.41,40647.46,8387.4,49034.86,0,939.86,8540.650000000005,100.72,214.55,9795.780000000004,119420.05
Nalbari,2795.16,44.2,393.97,60.25,3949.68,1298.62,4364.3,122.01,1359.42,14387.61,12220.32,5598.34,17818.66,0,987.84,4155.86,105.79,314.73,5564.219999999999,37770.49
Sivasagar,3515.27,94.76,1718.84,330.51,9321.63,530.04,7615.03,183.7,1917.73,25227.51,17870.54,10991.1,28861.64,0,872.42,4683.36,110.74,252.7,5919.219999999999,60008.369999999995
Sonitpur,6991.06,155.01,2476.02,48.510000000000005,11754.12,836.29,9959.95,1943.16,2235.79,36399.91,37648.14,8804.74,46452.88,0,1220.67,8612.57,336.9,1214.94,11385.08,94237.87000000001
South Salmara,678.52,40.6,269.75,21.47,114.56,24.41,126.98,19,181.82,1477.1100000000001,326.88,350.26,677.14,0,30.08,878.45,34.72,6.92,950.1700000000001,3104.42
Tinsukia,15365.12,83.47,1795.6,234.62,5504.94,339.58,7326.75,346.46,9777.05,40773.59,35042.94,17256.47,52299.41,0,2066.56,5174.25,90.09,851.71,8182.61,101255.61
Udalguri,6531.91,28.41,190.39,50.379999999999995,2113.4,116.26,646.2,30.740000000000002,168.8,9876.49,1903.97,721.75,2625.7200000000003,0,463.71,2445.57,13.98,0,2923.26,15425.47
West Karbi Anglong,1276.97,19,19,19,224.54,21.65,45.83,19,62.1,1707.09,160.5,44.58,205.07999999999998,0,62.22,1549.67,0,0,1611.89,3524.06
