District,Crop Loan Achievement,Insurance Number (PMFBY),Insurance Amount (PMFBY),Insurance Number (Others),Insurance Amount (Others)
Baksa,4247.13,36,7.53,0,0
Barpeta,11679.66,198,53.57,0,0
Biswanath,5078.21,31,24.63,0,0
Bongaigaon,3755.77,61,7.16,0,0
Cachar,6932.04,217,64.9,0,0
Charaideo,1605.24,2,1.09,0,0
Chirang,3163.35,35,19.12,0,0
Darrang,5034.34,13,11.41,0,0
Dhemaji,4467.23,529,21.15,0,0
Dhubri,7129.19,191,79.27,0,0
Dibrugarh,13014.66,1,0.34,0,0
Dima Hasao,156.13,1,0,0,0
Goalpara,6924.86,109,5.99,0,0
Golaghat,9865.62,12,1.7,0,0
Hailakandi,2775.97,28,50.03,0,0
Hojai,2654.14,126,0,0,0
Jorhat,6502.66,3,1.08,0,0
Kamrup Metro,14944.27,135,11.4,0,0
Karbi Anglong,3127.4,56,0,0,0
Karimganj,2282.7,28,0.6,0,0
Kokrajhar,4020.76,123,69.3,0,0
Lakhimpur,9835.55,63,44.18,0,0
Majuli,687.53,0,0,0,0
Morigaon,6860.51,303,80.7,0,0
Nagaon,8394.94,156,30.23,0,0
Nalbari,2795.16,177,48.49,0,0
Sivasagar,3515.27,75,37.61,0,0
Sonitpur,6991.06,119,37.93,0,0
South Salmara,678.52,9,0.81,0,0
Tinsukia,15365.12,8,4.35,0,0
Udalguri,6531.91,20,0.86,0,0
West Karbi Anglong,1276.97,0,0,0,0
