District,Lending No. of Muslim,Lending Amount of Muslim,O/S No. of Muslim,O/S Amt of Muslim,Lending No. of Christian,Lending Amount of Christian,O/S No. of Christian,O/S Amt of Christian,Lending No. of Sikh,Lending Amount of Sikh,O/S No. of Sikh,O/S Amt of Sikh,Lending No. of Buddhist,Lending Amount of Buddhist,O/S No. of Buddhist,O/S Amt of Buddhist,Lending No. of Zoroastrian,Lending Amount of Zoroastrian,O/S No. of Zoroastrian,O/S Amt of Zoroastrian,Lending No. of Jain,Lending Amount of Jain,O/S No. of Jain,O/S Amt of Jain,Total Lending No.,Total Lending Amt,Total O/S No.,Total O/S Amt
Baksa,,1295.77,,4550.47,80,61.11,242,222.26,1,0.45,3,0.73,2,0.7,3,1.1,0,0,0,0,0,0,18,14.46,1613,1358.03,6032,4789.02
Barpeta,,38503.9,,81556.45,47,161.22,203,379.58,2,1.37,7,19.34,3,17.66,16,22.35,1,1,3,3.25,4,4.6,31,72.7,50858,38689.75,111144,82053.67
Biswanath,,1326.32,,4959.76,110,133.48,873,456.81,1,1.98,6,17.87,0,0,0,0,1,0.64,5,3.41,1,0.35,10,69.96,1847,1462.77,8647,5507.81
Bongaigaon,,15516.59,,31337.64,1225,853.37,2621,1298.48,5,8.21,20,50.02,35,30.39,71,46.94,1,0.37,1,1.27,5,12.4,16,40.31,20349,16421.33,39585,32774.66
Cachar,,38664.52,,78242,1493,1887.1,2894,3292.03,5,31.18,19,86.94,13,21.73,26,43.29,2,0.35,3,0.53,8,24.41,40,262.21,41527,40629.29,101098,81927
Charaideo,,956.83,,2150.35,12,9.45,193,78.33,1,0.55,4,2.51,9,22.04,49,74.2,1,0.6,2,7.01,0,0,11,31.06,827,989.47,3039,2343.46
Chirang,,4022.29,,6993.18,452,261.57,2689,1793.74,0,0,3,2.16,5,2.33,13,3.1,0,0,4,4.36,0,0,3,8,4922,4286.19,11228,8804.54
Darrang,,21589.94,,43524.43,95,204.55,334,559.88,3,1.15,7,14.42,4,3.35,25,25.17,0,0,1,0.44,16,26.9,26,45.05,28098,21825.89,62836,44169.39
Dhemaji,,357.93,,2456.21,34,46.13,270,237.17,3,1.9,88,414.6,1,1.39,76,151.29,0,0,3,6.15,7,31.8,529,1569.53,532,439.15,3267,4834.95
Dhubri,,47822.85,,77323.56,1180,610.53,1817,1036.01,5,69.45,9,92.6,10,8.53,19,16.14,1,1.5,2,1.54,12,24.69,41,153.94,54512,48537.55,103849,78623.79
Dibrugarh,,5704.12,,22777.72,553,916.77,2914,2959.5,86,225.77,413,2008.8,62,174.41,300,342.56,1,0.24,31,19.76,34,142,1238,8834.47,5651,7163.31,20928,36942.81
Dima Hasao,,272.7,,641.13,758,1994.47,1807,4432.4,13,18.68,28,58.45,1,6,4,15.65,0,0,0,0,0,0,0,0,857,2291.85,2253,5147.63
Goalpara,,14472.96,,30374.7,2627,1731.07,5299,3363.59,6,2.67,8,17.34,13,10.26,20,12.38,7,5,17,7.12,4,33.9,19,63.84,21014,16255.86,46323,33838.97
Golaghat,,6180.89,,12510.03,863,548.2,3085,1617.03,40,71.56,157,542.04,73,55.59,248,212.88,0,0,14,19.81,4,1.33,94,1695.31,8041,6857.57,21459,16597.1
Hailakandi,,11318.78,,27184.41,90,121.11,236,276.09,0,0,0,0,1,1,3,1.75,0,0,0,0,0,0,18,49.19,11344,11440.89,31965,27511.44
Hojai,,4495.54,,19149.04,39,79.91,240,259.63,9,16.8,34,61.81,0,0,1,2.05,0,0,0,0,1,0.35,14,49.21,3983,4592.6,23149,19521.74
Jorhat,,5847.94,,13941.05,595,607.21,1622,1668.65,33,85.56,170,654.86,52,61.66,176,487.97,1,0.02,21,22.11,20,46.12,325,2149.09,6532,6648.51,18753,18923.73
Kamrup Metro,,33860.61,,61187.53,741,427.75,1821,863.74,29,159.66,75,323.08,25,11.73,61,44.9,1,0.13,2,1.72,5,19.82,22,60.16,47334,34479.7,97810,62481.13
Karbi Anglong,,503.77,,1230.31,1716,1137.12,2791,2293.55,15,18,38,84.38,22,108.04,50,180.47,0,0,0,0,0,0,4,28.59,2093,1766.93,3893,3817.3
Karimganj,,18205.01,,34938.68,548,513.75,735,624.86,6,16.76,38,126.06,9,10.15,10,9,0,0,0,0,1,9.24,25,114.26,24555,18754.91,53286,35812.86
Kokrajhar,,3094.22,,7882.87,786,596.69,3075,2081.83,10,12.13,36,53.41,1,0.84,5,5.76,0,0,1,0.39,1,25,8,15.72,4232,3728.88,10611,10039.98
Lakhimpur,,9125.12,,18506.99,530,402.49,1338,794.97,14,30.87,132,512.77,13,25.86,60,82.63,5,2.28,32,20.91,1,1,111,1652.41,13245,9587.62,32842,21570.68
Majuli,,43.68,,348.67,1,0.2,1,0.13,0,0,0,0,0,0,1,1.14,0,0,0,0,0,0,3,10,41,43.88,620,359.94
Morigaon,,17306.24,,30320.44,88,74.19,217,180.36,14,17.74,74,162.86,4,8.18,7,20.49,0,0,3,3.46,1,6,22,79.15,23596,17412.35,54889,30766.76
Nagaon,,53278.44,,102421.91,417,335.98,869,928.59,41,71.14,148,411.65,5,6.14,11,23.98,3,4.77,4,4.76,8,29.03,49,177.52,78860,53725.5,172556,103968.41
Nalbari,,9603.54,,21066.98,17,16.8,106,74.07,3,2.52,9,21.86,11,3.06,32,4.98,1,0.03,3,2.22,6,47.95,51,119.94,13504,9673.9,32112,21290.05
Sivasagar,,8596.27,,24113.88,282,220.28,823,933.01,17,18.57,61,112.16,46,29.22,129,156.54,1,0.39,23,25.92,11,25.73,136,1164.48,9197,8890.46,24131,26505.99
