district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,1192.98,1292.61,516.55,56.29,310.05,2119.21
Bankura,8058.46,4432.3,3723.11,88.78,921.43,9076.84
Birbhum,8626.33,4634.15,3723.15,88.81,1356.1,9713.4
Cooch Behar,5113.26,3725.89,2135.52,75.03,953.34,6814.75
Dakshin Dinajpur,7274.23,3862.15,3804.44,85.92,799.64,8466.23
Darjeeling,3584.66,997.02,1905.14,93.71,922.99,3825.15
Hooghly,4954.29,4611.24,4333.84,47.07,1581.11,10526.19
Howrah,14707.71,2141.08,11440.81,100.32,1079.36,14661.25
Jalpaiguri,4450.59,2303.21,2490.94,76.83,998.51,5792.66
Jhargram,3767.7,2117.51,1774.4,81.32,741.29,4633.2
Kalimpong,494.98,297.35,325.45,67.84,106.79,729.59
Kolkata,21278.56,614.55,13792.23,98.68,7156.76,21563.54
Malda,9036.03,5751.32,2407.38,81.34,2949.97,11108.67
Murshidabad,13771.23,7606.64,5388.68,92.91,1827.15,14822.47
Nadia,13059.22,6393.07,6232.77,91.16,1699.48,14325.32
North 24 Parganas,12826.28,3746.11,7597.55,88.79,3101.21,14444.87
Paschim Bardhaman,6318.17,306.48,5049.93,109.1,434.81,5791.22
Paschim Medinipur,14067.7,8432.24,5371.25,89.44,1925.64,15729.13
Purba Bardhaman,12089.64,8142.25,4038.52,88.64,1457.78,13638.55
Purba Medinipur,12821.76,5567.84,5109.98,101.17,1995.45,12673.27
Purulia,6771.34,3438.91,2881.61,91.25,1100.24,7420.76
South 24 Parganas,11738.81,4259.48,7038.54,89.65,1796.06,13094.08
Uttar Dinajpur,4166.66,2929.71,954.75,85.88,967.27,4851.73
