district,disb_amt,kishore_no,sanc_amt,shishu_no,tarun_no,total_no
Alipurduar,726.14,31271.0,737.72,140355.0,699.0,172325.0
Bankura,498.18,16892.0,532.86,69987.0,1640.0,88519.0
Birbhum,1198.8,46286.0,1232.95,120063.0,1911.0,168260.0
Cooch Behar,832.9,51500.0,864.39,74586.0,1747.0,127833.0
Dakshin Dinajpur,553.82,23885.0,566.06,104446.0,670.0,129001.0
Howrah,1871.95,93056.0,1908.16,176119.0,2296.0,271471.0
Jalpaiguri,1134.52,57965.0,1173.49,177543.0,2008.0,237516.0
Jhargram,130.44,3757.0,140.3,15402.0,506.0,19665.0
Kalimpong,19.0,1133.0,19.31,807.0,50.0,1990.0
Kolkata,1645.93,56930.0,1693.15,154365.0,6515.0,217810.0
Malda,1285.45,59765.0,1320.14,195384.0,1591.0,256740.0
Murshidabad,2923.85,149465.0,3007.98,504698.0,3235.0,657398.0
Nadia,1850.89,88611.0,1891.14,230784.0,3232.0,322627.0
North 24 Parganas,2652.81,126334.0,2742.7,322240.0,5546.0,454120.0
Paschim Medinipur,1092.36,34370.0,1178.25,120499.0,4444.0,159313.0
Purba Bardhaman,1508.09,59100.0,1521.59,146304.0,3340.0,208744.0
Purba Medinipur,1305.35,48402.0,1454.5,156957.0,4253.0,209612.0
South 24 Parganas,1754.07,83250.0,1802.44,248939.0,3746.0,335935.0
Uttar Dinajpur,603.16,27184.0,622.75,97002.0,916.0,125102.0
