district,achievement_no_wise,amount,amount_wise,forwarded_to_bank_no,mm_claimed_no,mm_disbursed_no,returned_no,sanctioned_no,target_2021_22_no
Alipurduar,52.31,3.88,50.67,286.0,68.0,68.0,142.0,83.0,130.0
Bankura,33.85,3.82,26.06,274.0,49.0,44.0,126.0,57.0,130.0
Birbhum,70.77,4.4,65.83,299.0,91.0,92.0,151.0,93.0,130.0
Cooch Behar,46.15,11.32,38.11,605.0,63.0,60.0,466.0,74.0,130.0
Dakshin Dinajpur,51.67,5.25,80.44,250.0,67.0,62.0,128.0,57.0,120.0
Darjeeling,57.5,3.82,54.52,250.0,67.0,69.0,127.0,78.0,120.0
Hooghly,46.67,6.18,46.41,337.0,56.0,56.0,196.0,71.0,120.0
Howrah,58.33,4.97,48.26,393.0,72.0,70.0,177.0,94.0,120.0
Jalpaiguri,109.17,6.03,114.51,546.0,135.0,131.0,342.0,143.0,120.0
Jhargram,7.5,0.43,11.14,41.0,12.0,9.0,15.0,14.0,120.0
Kalimpong,10.0,1.11,9.66,84.0,18.0,12.0,40.0,30.0,120.0
Kolkata,10.83,1.16,4.05,137.0,20.0,13.0,70.0,28.0,120.0
Malda,42.5,5.14,40.47,381.0,54.0,51.0,161.0,75.0,120.0
Murshidabad,80.24,16.39,87.89,816.0,217.0,203.0,447.0,250.0,253.0
Nadia,52.5,8.13,75.17,671.0,64.0,63.0,201.0,69.0,120.0
North 24 Parganas,116.0,26.98,144.63,1427.0,252.0,232.0,773.0,271.0,200.0
Paschim Bardhaman,7.5,0.35,10.22,51.0,8.0,9.0,28.0,14.0,120.0
Paschim Medinipur,40.0,7.33,44.58,523.0,70.0,68.0,247.0,82.0,170.0
Purba Medinipur,145.11,24.39,238.83,1956.0,694.0,653.0,655.0,691.0,450.0
Purulia,25.0,2.91,25.35,207.0,30.0,30.0,100.0,26.0,120.0
South 24 Parganas,58.0,21.22,68.88,1044.0,191.0,174.0,565.0,255.0,300.0
Uttar Dinajpur,53.33,1.29,57.21,123.0,67.0,64.0,37.0,76.0,120.0
