district,amount,average_disbursement_amount_in_lakh,disbursement_no,of_achievement_no,outstanding_amount,sanctioned_no,target_2021_22_no
Alipurduar,81.33,1.82,14566.0,119.05,360.06,14195.0,12235.0
Bankura,86.87,2.03,32729.0,112.43,744.73,29048.0,29110.0
Birbhum,93.96,2.56,48236.0,94.6,1030.52,51039.0,50988.0
Cooch Behar,81.76,1.74,38990.0,135.33,1012.75,27015.0,28810.0
Dakshin Dinajpur,54.47,1.42,15772.0,108.04,302.4,15115.0,14598.0
Darjeeling,163.36,2.03,12521.0,318.76,327.48,4587.0,3928.0
Hooghly,112.8,2.23,32416.0,164.22,658.44,25794.0,19739.0
Howrah,116.18,2.58,27599.0,115.66,627.54,24840.0,23863.0
Jalpaiguri,104.08,1.97,23649.0,157.78,621.46,17191.0,14989.0
Jhargram,76.83,1.73,10634.0,113.13,220.82,10980.0,9400.0
Kalimpong,77.31,2.66,2309.0,122.82,62.15,2138.0,1880.0
Kolkata,100.0,1.03,648.0,100.0,8.51,0.0,0.0
Malda,80.87,1.63,35403.0,126.21,793.2,27577.0,28051.0
Murshidabad,93.32,1.52,48466.0,152.01,932.81,33762.0,31883.0
Nadia,61.71,1.6,28020.0,115.83,592.22,23004.0,24190.0
North 24 Parganas,75.96,1.62,42590.0,112.03,833.39,36636.0,38018.0
Paschim Bardhaman,109.0,2.48,7472.0,90.49,138.9,7721.0,8257.0
Paschim Medinipur,97.25,2.19,38767.0,130.26,952.12,31748.0,29762.0
Purba Bardhaman,103.3,2.89,37165.0,98.31,906.1,39624.0,37805.0
Purba Medinipur,110.66,2.89,50598.0,116.78,1535.15,41866.0,43328.0
Purulia,55.79,1.47,17682.0,86.37,354.14,15689.0,20472.0
South 24 Parganas,38.69,1.45,23612.0,74.04,498.47,32856.0,31893.0
Uttar Dinajpur,0.49,1.68,108.0,0.78,1.06,12597.0,13928.0
