district,amount,disbursed_no,no_of_active_shgs,sanctioned_no,sponsored_in_fy,target_fy_21_22_no,total_pending
Alipurduar,0.0,0.0,578.0,0.0,0.0,2.0,0.0
Bankura,0.06,3.0,2323.0,2.0,7.0,5.0,1.0
Birbhum,0.38,18.0,3515.0,19.0,33.0,14.0,0.0
Cooch Behar,0.08,4.0,1656.0,4.0,10.0,10.0,1.0
Dakshin Dinajpur,0.0,0.0,1732.0,0.0,0.0,7.0,0.0
Darjeeling,0.06,3.0,2138.0,3.0,9.0,6.0,1.0
Hooghly,0.21,10.0,5696.0,9.0,23.0,30.0,0.0
Howrah,0.02,1.0,1668.0,1.0,8.0,9.0,1.0
Jalpaiguri,0.02,1.0,1456.0,1.0,6.0,11.0,0.0
Jhargram,0.0,0.0,454.0,0.0,0.0,2.0,0.0
Kalimpong,0.0,0.0,124.0,0.0,0.0,4.0,0.0
Kolkata,0.0,0.0,1457.0,0.0,0.0,5.0,0.0
Malda,0.06,3.0,964.0,3.0,9.0,5.0,0.0
Murshidabad,0.19,9.0,5285.0,8.0,26.0,28.0,1.0
Nadia,0.17,8.0,5754.0,7.0,28.0,18.0,1.0
North 24 Parganas,0.21,10.0,15576.0,13.0,31.0,63.0,1.0
Paschim Bardhaman,0.11,5.0,2745.0,5.0,16.0,10.0,0.0
Paschim Medinipur,0.13,6.0,3775.0,6.0,18.0,18.0,0.0
Purba Bardhaman,0.21,10.0,3252.0,17.0,39.0,16.0,0.0
Purba Medinipur,0.23,11.0,3344.0,11.0,26.0,14.0,0.0
Purulia,0.04,2.0,1230.0,2.0,6.0,8.0,1.0
South 24 Parganas,0.02,1.0,3489.0,2.0,8.0,14.0,1.0
Uttar Dinajpur,0.0,0.0,2068.0,0.0,0.0,11.0,0.0
