district,of_enrolment,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,165.15,386952.0,40149.0,92335.0,254468.0,234299.0
Bankura,49.14,999445.0,90775.0,184092.0,724578.0,2034021.0
Birbhum,59.63,1255841.0,144188.0,324888.0,786765.0,2106178.0
Cooch Behar,60.03,864962.0,119415.0,192156.0,553391.0,1440913.0
Dakshin Dinajpur,49.94,534068.0,56908.0,109714.0,367446.0,1069498.0
Hooghly,68.26,1465227.0,176041.0,318809.0,970377.0,2146605.0
Howrah,63.25,1162329.0,143667.0,266654.0,752008.0,1837804.0
Jalpaiguri,52.58,868309.0,113528.0,215252.0,539529.0,1651436.0
Kolkata,224.97,1740815.0,136176.0,360356.0,1244283.0,773792.0
Malda,45.35,1312762.0,174857.0,266737.0,871168.0,2894830.0
Murshidabad,55.73,2198382.0,284148.0,387938.0,1526296.0,3944658.0
Nadia,53.02,1467422.0,177673.0,253782.0,1035967.0,2767847.0
North 24 Parganas,63.9,2498921.0,276179.0,492119.0,1730623.0,3910547.0
Paschim Medinipur,58.74,1613475.0,187585.0,304237.0,1121653.0,2746800.0
Purba Bardhaman,59.14,1956350.0,209877.0,450465.0,1296008.0,3308246.0
Purba Medinipur,57.18,1389823.0,215230.0,243593.0,931000.0,2430528.0
Purulia,36.36,653771.0,68998.0,144659.0,440114.0,1798154.0
South 24 Parganas,37.96,1714746.0,203582.0,344576.0,1166588.0,4517415.0
Uttar Dinajpur,33.44,795142.0,102335.0,162433.0,530374.0,2377797.0
