district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,70.49,23.0,18.0,43.0,10.91,61.0,61.0,559.0,0.0
Birbhum,55.91,15.0,82.0,104.0,38.99,186.0,186.0,477.0,0.0
Cooch Behar,66.23,10.0,51.0,100.0,49.51,151.0,151.0,305.0,0.0
Dakshin Dinajpur,64.67,228.0,1600.0,2929.0,74.84,4529.0,4735.0,6327.0,206.0
Darjeeling,64.84,10.0,32.0,59.0,29.74,91.0,91.0,306.0,0.0
Hooghly,90.77,18.0,35.0,344.0,84.04,379.0,379.0,451.0,0.0
Howrah,53.27,29.0,150.0,171.0,38.94,321.0,324.0,832.0,3.0
Jalpaiguri,100.0,18.0,0.0,25.0,6.56,25.0,25.0,381.0,0.0
Malda,31.58,15.0,52.0,24.0,21.11,76.0,76.0,360.0,0.0
Nadia,0.0,17.0,4.0,0.0,1.21,4.0,4.0,330.0,0.0
North 24 Parganas,100.0,18.0,0.0,344.0,59.72,344.0,344.0,576.0,0.0
Purba Bardhaman,100.0,21.0,0.0,11.0,1.95,11.0,11.0,565.0,0.0
Purba Medinipur,76.56,19.0,45.0,147.0,31.48,192.0,192.0,610.0,0.0
Purulia,43.42,18.0,43.0,33.0,18.31,76.0,76.0,415.0,0.0
South 24 Parganas,54.28,19.0,123.0,146.0,53.18,269.0,276.0,519.0,7.0
Uttar Dinajpur,49.09,17.0,84.0,81.0,35.33,165.0,165.0,467.0,0.0
