district,No. of Aadhaar Seeded,female_a_c,male_a_c,of_enrolment,No. of Rupay Card Issued,rural_a_c,total_a_c,total_deposit,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c,urban_a_c,No. of Zero Balance A/C
Alipurduar,201601.0,133573.0,100726.0,165.15,187887.0,158300.0,234299.0,70.44,386952.0,40149.0,92335.0,254468.0,234299.0,75999.0,25828.0
Bankura,1663208.0,1130795.0,903226.0,49.14,1156341.0,1777987.0,2034021.0,910.88,999445.0,90775.0,184092.0,724578.0,2034021.0,256034.0,110393.0
Birbhum,1721893.0,1212031.0,894147.0,59.63,1293152.0,1687658.0,2106178.0,690.94,1255841.0,144188.0,324888.0,786765.0,2106178.0,418520.0,137537.0
Cooch Behar,1201882.0,809392.0,631521.0,60.03,1123719.0,1012665.0,1440913.0,310.65,864962.0,119415.0,192156.0,553391.0,1440913.0,428248.0,89145.0
Dakshin Dinajpur,866516.0,611019.0,458479.0,49.94,609637.0,887256.0,1069498.0,276.84,534068.0,56908.0,109714.0,367446.0,1069498.0,182242.0,69188.0
Hooghly,1850696.0,1269284.0,877321.0,68.26,1342289.0,1460953.0,2146605.0,892.93,1465227.0,176041.0,318809.0,970377.0,2146605.0,685652.0,97659.0
Howrah,1555885.0,1084990.0,752814.0,63.25,1223229.0,1213899.0,1837804.0,724.43,1162329.0,143667.0,266654.0,752008.0,1837804.0,623905.0,87032.0
Jalpaiguri,1387182.0,947779.0,703657.0,52.58,1261183.0,1080811.0,1651436.0,544.74,868309.0,113528.0,215252.0,539529.0,1651436.0,570625.0,98754.0
Kolkata,611223.0,427196.0,346596.0,224.97,571364.0,5968.0,773792.0,301.52,1740815.0,136176.0,360356.0,1244283.0,773792.0,767824.0,76583.0
Malda,2431437.0,1675171.0,1219659.0,45.35,1475938.0,2474441.0,2894830.0,830.19,1312762.0,174857.0,266737.0,871168.0,2894830.0,420389.0,260460.0
Murshidabad,3271226.0,2257710.0,1686948.0,55.73,2645096.0,2832301.0,3944658.0,1128.46,2198382.0,284148.0,387938.0,1526296.0,3944658.0,1112357.0,245554.0
Nadia,2210492.0,1593442.0,1174405.0,53.02,1785680.0,1855878.0,2767847.0,931.78,1467422.0,177673.0,253782.0,1035967.0,2767847.0,911969.0,188398.0
North 24 Parganas,3254441.0,2283078.0,1627469.0,63.9,2621743.0,2271012.0,3910547.0,1532.57,2498921.0,276179.0,492119.0,1730623.0,3910547.0,1639535.0,201927.0
Paschim Medinipur,2288608.0,1580575.0,1166225.0,58.74,1564499.0,2331371.0,2746800.0,1157.72,1613475.0,187585.0,304237.0,1121653.0,2746800.0,415429.0,127043.0
Purba Bardhaman,2694767.0,2058512.0,1249734.0,59.14,2120033.0,2288805.0,3308246.0,1023.55,1956350.0,209877.0,450465.0,1296008.0,3308246.0,1019441.0,162005.0
Purba Medinipur,2027457.0,1362110.0,1068418.0,57.18,1434964.0,2231543.0,2430528.0,1090.62,1389823.0,215230.0,243593.0,931000.0,2430528.0,198985.0,102780.0
Purulia,1489287.0,987504.0,810650.0,36.36,1044718.0,1506566.0,1798154.0,806.92,653771.0,68998.0,144659.0,440114.0,1798154.0,291588.0,133540.0
South 24 Parganas,3749965.0,2599119.0,1918296.0,37.96,2761583.0,3758299.0,4517415.0,1611.12,1714746.0,203582.0,344576.0,1166588.0,4517415.0,759116.0,314023.0
Uttar Dinajpur,1868048.0,1336961.0,1040836.0,33.44,1207802.0,1868498.0,2377797.0,466.68,795142.0,102335.0,162433.0,530374.0,2377797.0,509299.0,223599.0
