district,amount,kcc_disbursement_during_01_04_2021_to_31_03_2022_fresh_renewal_no,kcc_outstanding_as_on_31_03_2022_no,of_achievement_no,target_no
Alipurduar,299.75,24782.0,32003.0,64.37,38500.0
Bankura,727.26,181205.0,165474.0,91.52,198000.0
Birbhum,895.48,201149.0,228706.0,83.81,240000.0
Cooch Behar,1086.59,158373.0,200143.0,83.35,190000.0
Dakshin Dinajpur,830.86,77537.0,180792.0,67.42,115000.0
Darjeeling,240.12,17604.0,26325.0,95.16,18500.0
Hooghly,1704.19,266969.0,341789.0,67.59,395000.0
Howrah,348.0,41642.0,75783.0,43.83,95000.0
Jalpaiguri,502.26,25647.0,80373.0,64.12,40000.0
Jhargram,412.66,38419.0,100955.0,69.85,55000.0
Kalimpong,108.15,9041.0,11031.0,90.41,10000.0
Kolkata,0.0,0.0,0.0,,0.0
Malda,829.49,171364.0,226930.0,155.79,110000.0
Murshidabad,669.34,73973.0,146729.0,77.87,95000.0
Nadia,1041.5,64240.0,197820.0,58.4,110000.0
Paschim Bardhaman,113.77,14792.0,14501.0,59.17,25000.0
Paschim Medinipur,1196.6,270316.0,196737.0,110.33,245000.0
Purba Bardhaman,2550.26,289429.0,557957.0,103.37,280000.0
Purba Medinipur,2376.0,560331.0,557064.0,74.71,750000.0
Purulia,376.92,51254.0,108514.0,146.44,35000.0
Uttar Dinajpur,1337.32,47316.0,314343.0,86.03,55000.0
