district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,54.51,337.0,2236.0,2679.0,69.14,4915.0,5522.0,7987.0,607.0
Birbhum,72.7,247.0,1373.0,3656.0,68.97,5029.0,5037.0,7303.0,8.0
Cooch Behar,52.32,153.0,1244.0,1365.0,71.92,2609.0,2643.0,3675.0,34.0
Dakshin Dinajpur,64.67,228.0,1600.0,2929.0,74.84,4529.0,4735.0,6327.0,206.0
Darjeeling,65.46,123.0,829.0,1571.0,75.41,2400.0,2444.0,3241.0,44.0
Hooghly,86.8,292.0,701.0,4608.0,72.15,5309.0,5309.0,7358.0,0.0
Howrah,26.61,665.0,9983.0,3619.0,84.33,13602.0,14258.0,16907.0,656.0
Jalpaiguri,76.79,282.0,1026.0,3395.0,79.77,4421.0,4685.0,5873.0,264.0
Malda,56.4,249.0,2161.0,2795.0,76.59,4956.0,5550.0,7246.0,594.0
Nadia,46.82,237.0,2146.0,1889.0,69.07,4035.0,4109.0,5949.0,74.0
North 24 Parganas,62.2,296.0,2326.0,3827.0,82.16,6153.0,6277.0,7640.0,124.0
Purba Bardhaman,61.34,274.0,1852.0,2938.0,68.42,4790.0,4790.0,7001.0,0.0
Purba Medinipur,55.85,258.0,2368.0,2995.0,72.33,5363.0,5412.0,7482.0,49.0
Purulia,64.31,205.0,964.0,1737.0,51.67,2701.0,2701.0,5227.0,0.0
South 24 Parganas,74.75,334.0,1435.0,4249.0,66.25,5684.0,5812.0,8773.0,128.0
Uttar Dinajpur,54.62,236.0,1926.0,2318.0,72.81,4244.0,4324.0,5939.0,80.0
