district,1_year_and_above,6_months_to_1_year,above_60_day_below_6_months,pending_below_60_days,total_pending
Alipurduar,0.0,1.0,0.0,1.0,2.0
Bankura,21.0,10.0,2.0,0.0,33.0
Birbhum,32.0,21.0,10.0,9.0,72.0
Cooch Behar,12.0,9.0,7.0,1.0,29.0
Dakshin Dinajpur,46.0,6.0,2.0,0.0,54.0
Darjeeling,14.0,15.0,2.0,1.0,32.0
Hooghly,124.0,57.0,61.0,8.0,250.0
Howrah,118.0,74.0,19.0,12.0,223.0
Jalpaiguri,20.0,3.0,0.0,0.0,23.0
Jhargram,1.0,2.0,0.0,0.0,3.0
Kalimpong,0.0,0.0,1.0,0.0,1.0
Kolkata,25.0,378.0,1.0,4.0,408.0
Malda,40.0,18.0,1.0,0.0,59.0
Murshidabad,71.0,15.0,3.0,1.0,90.0
Nadia,44.0,5.0,3.0,0.0,52.0
Paschim Bardhaman,59.0,40.0,7.0,10.0,116.0
Paschim Medinipur,80.0,20.0,2.0,1.0,76.0
Purba Bardhaman,75.0,33.0,16.0,9.0,132.0
Purba Medinipur,34.0,30.0,3.0,1.0,68.0
Purulia,9.0,10.0,3.0,2.0,24.0
Uttar Dinajpur,38.0,3.0,0.0,0.0,41.0
