district,as_on_31_03_2022,as_on_31_12_2021
Alipurduar,47.64,49.1
Bankura,49.25,46.13
Birbhum,49.99,44.35
Cooch Behar,79.49,75.51
Dakshin Dinajpur,61.85,61.29
Darjeeling,57.59,57.26
Hooghly,36.26,34.45
Howrah,46.26,44.8
Jalpaiguri,63.33,59.19
Jhargram,40.92,40.02
Kalimpong,44.6,40.47
Kolkata,61.61,59.17
Malda,57.31,56.73
Murshidabad,44.02,42.85
Nadia,50.25,50.16
North 24 Parganas,40.29,40.26
Paschim Bardhaman,42.58,42.48
Paschim Medinipur,46.95,45.55
Purba Bardhaman,51.28,49.31
Purba Medinipur,45.83,45.69
Purulia,48.61,48.02
South 24 Parganas,45.01,44.76
Uttar Dinajpur,60.6,59.92
