district,Total Advance,Overall CD Ratio,cd_ratio_as_on_march,cd_ratio_as_on_march_2022_deposit
Alipurduar,3219.86,47.64,48.18,6759.24
Bankura,7351.0,49.25,45.01,14925.0
Birbhum,8149.04,49.99,41.09,16300.93
Cooch Behar,7701.0,79.49,77.36,9688.07
Dakshin Dinajpur,3087.3,61.85,62.21,4991.9
Darjeeling,14775.94,57.59,64.4,25658.34
Hooghly,17928.44,36.26,27.08,49446.15
Howrah,18367.51,46.26,41.86,39702.08
Jalpaiguri,7226.08,63.33,59.09,11409.66
Jhargram,1699.2,40.92,40.03,4152.35
Kalimpong,786.24,44.6,40.04,1762.85
Kolkata,256683.01,61.61,64.06,416656.02
Malda,7533.75,57.31,55.83,13144.87
Murshidabad,10060.86,44.02,42.62,22857.17
Nadia,16192.0,50.25,50.02,32225.0
Paschim Bardhaman,18526.68,42.58,41.59,43512.44
Paschim Medinipur,12422.8,46.95,43.37,26461.2
Purba Bardhaman,13211.02,51.28,45.58,25760.33
Purba Medinipur,14050.4,45.83,42.65,30659.01
Purulia,3993.0,48.61,54.58,8214.0
Uttar Dinajpur,5132.12,60.6,60.63,8468.98
