District,Agriculture (NPS) No.,Agriculture (NPS) Amt,MSME (NPS) No.,MSME (NPS) Amt,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt,Education (NPS) A/C,Education (NPS) Amt,Housing (NPS) A/C,Housing (NPS) Amt,Personal Loans under NPS A/C,Personal Loans under NPS Amt,Others NPS A/C,Others NPS Amt,Total A/CP NPS Disb No.,Total A/CP NPS Disb Amt
Baksa,1,6.3,3,1.74,0,0,0,0,309,983.43,70,215.87,296,570.61,679,1777.9499999999998
Barpeta,7,18,38,427.49,0,0,0,0,570,1205.53,309,1157.93,1745,3742.57,2669,6551.52
Biswanath,0,0,25,125.34,0,0,0,0,720,501.83,65,174.81,349,818.75,1159,1620.73
Bongaigaon,20,139.17,45,207.66,0,0,0,0,220,833.6,222,660.91,1356,3715.85,1863,5557.1900000000005
Cachar,635,473.61,27,479.05,0,0,0,0,285,1475.08,492,1429.12,6012,14497.48,7451,18354.34
Charaideo,114,73.52,24,99.04,0,0,0,0,50,258.42,18,55.94,378,355.9,584,842.8199999999999
Chirang,0,0,51,192.36,0,0,0,0,110,433.43,62,197.12,429,425.65,652,1248.56
Darrang,0,0,84,225.36,0,0,0,0,234,532.13,205,620.15,1129,2241.42,1652,3619.06
Dhemaji,0,0,20,33.15,0,0,0,0,286,817.68,167,575.39,560,1193.88,1033,2620.1
Dhubri,1,0.24,82,315.24,0,0,0,0,455,1453.07,156,449.71,653,1352.94,1347,3571.2
Dibrugarh,166,112.08,56,645.68,0,0,2,5.19,495,2321.71,762,2285.06,5825,52207.91,7306,57577.630000000005
Dima Hasao,0,0,8,33.64,0,0,0,0,38,124.81,125,410.1,164,410.54,335,979.0899999999999
Goalpara,0,0,25,40.95,0,0,0,0,217,762.09,101,355.17,548,1191.64,891,2349.8500000000004
Golaghat,22,123.83,45,25.45,0,0,3,14.89,459,1262.38,270,793.13,1849,2944.37,2648,5164.05
Hailakandi,9,4.77,12,60.24,0,0,0,0,232,265.23,61,155.57,539,969.1,853,1454.91
Hojai,0,0,1,0.84,0,0,0,0,180,434.5,134,391.94,468,1216.29,783,2043.57
Jorhat,113,88.19,21,104.2,0,0,2,5.4,849,2592.19,531,1571.09,4120,8004.47,5636,12365.54
Kamrup Metro,0,0,70,801.01,0,0,5,19.38,730,2014.35,928,3160.92,3804,9396.45,5537,15392.11
Karbi Anglong,0,0,69,187.26,0,0,0,0,129,463.23,312,1285.89,390,1886.02,900,3822.4
Karimganj,0,0,12,19.2,0,0,0,0,134,367.64,158,438.35,740,1461.97,1044,2287.16
Kokrajhar,0,0,20,132.46,0,0,1,3.59,135,568.92,113,530.06,525,1151.05,794,2386.08
Lakhimpur,0,0,66,353.28,0,0,0,0,611,1952.6,204,667.94,1258,2341.63,2139,5315.450000000001
Majuli,0,0,6,47.38,0,0,0,0,28,72.44,34,60.76,15,7.72,83,188.29999999999998
Morigaon,0,0,9,40.26,0,0,0,0,140,420.31,189,391.53,482,1207.78,820,2059.88
Nagaon,11,72.1,19,251.43,0,0,0,0,715,2006.86,421,1418.32,2619,5450.79,3785,9199.5
Nalbari,0,0,26,70.65,0,0,1,24.2,438,1200.51,350,1684,1089,2408.53,1904,5387.889999999999
Sivasagar,95,225.82,64,64.76,0,0,1,26.51,282,1225.89,464,1790.34,4686,5903.86,5592,9237.18
Sonitpur,174,251.16,49,160.6,0,0,0,0,498,1923.29,427,1309.91,3736,7876.5,4884,11521.46
South Salmara,0,0,6,26.45,0,0,0,0,39,114.28,1,0.54,27,51.68,73,192.95
Tinsukia,152,374.71,88,427.64,0,0,1,1,424,1113.29,449,1385.64,3327,20813.24,4441,24115.52
Udalguri,0,0,59,102.24,0,0,0,0,293,514.52,69,193.62,191,441.56,612,1251.94
West Karbi Anglong,0,0,8,20.48,0,0,1,0.68,49,95.77,65,259.51,26,85.42,149,461.86
