district,Export No,Export Amt,Education PS No,Education PS Amt,Housing PS No,Housing PS Amt,Social Infra No,Social Infra Amt,Renewable No,Renewable Amt,Other PS No,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.
Baksa,0,0,10,24.03,258,607.57,0,0,91,31.51,398,567.51,757,1230.62
Barpeta,0,0,36,109.74,164,447.95,0,0,532,265.81,1005,2225.44,1737,3048.94
Biswanath,0,0,8,21.74,83,159.04,0,0,0,0,1090,1031.9,1181,1212.68
Bongaigaon,0,0,11,27.25,24,85.84,67,8.65,128,61.49,127,205.75,357,388.98
Cachar,0,0,56,165.1,54,253.44,0,0,12,5.07,629,1300.77,751,1724.3799999999999
Charaideo,0,0,0,0,14,72.58,0,0,99,35.55,216,803.5,329,911.63
Chirang,0,0,5,9.72,32,62.56,1,0.51,159,90.25,505,626.59,702,789.6300000000001
Darrang,0,0,13,31.85,163,380.2,1,0.11,57,29.99,819,808.64,1053,1250.79
Dhemaji,0,0,20,50.06,40,154.12,0,0,31,11.03,330,375.71,421,590.92
Dhubri,0,0,18,45.49,90,258.77,0,0,244,133.44,1458,1275.78,1810,1713.48
Dibrugarh,0,0,67,195.3,80,638.78,2505,325.2,27,10.56,1700,2274.4,4379,3444.24
Dima Hasao,0,0,2,6.46,10,15.71,0,0,0,0,6,4.4,18,26.57
Goalpara,0,0,9,22.59,60,88.16,0,0,505,330.7,562,980.71,1136,1422.16
Golaghat,0,0,33,71.05,31,120.85,227,22.84,12,2.98,977,278.44,1280,496.15999999999997
Hailakandi,0,0,7,13.99,26,108.55,0,0,32,15.23,171,124.66,236,262.42999999999995
Hojai,0,0,8,14.49,17,74.57,0,0,0,0,274,829.02,299,918.0799999999999
Jorhat,0,0,35,91.9,112,470.35,1119,131.18,0,0,3529,1299.76,4795,1993.19
Kamrup Metro,0,0,46,122.13,190,527.43,99,17.86,25,11.03,875,796.92,1235,1475.37
Karbi Anglong,0,0,18,36.22,30,56.21,0,0,1,0.09,319,187.53,368,280.05
Karimganj,0,0,10,30.14,35,512736.45,0,0,13,3.16,50,284.38,108,513054.13
Kokrajhar,0,0,11,26.74,31,54.77,1,7.98,58,41.53,1029,1499.8,1130,1630.82
Lakhimpur,0,0,24,69.12,64,202.36,21,11.65,125,51.33,1167,2016.67,1401,2351.13
Majuli,0,0,3,4.43,4,15.59,0,0,0,0,98,417.25,105,437.27
Morigaon,0,0,14,51.82,121,390.06,0,0,34,13.89,48,622.62,217,1078.3899999999999
Nagaon,0,0,51,142.79,151,479.74,72,5.91,4,2.51,974,889.84,1252,1520.79
Nalbari,0,0,39,95.03,422,1057.67,9,0.93,9,4.16,1107,947.93,1586,2105.7200000000003
Sivasagar,0,0,20,41.89,45,280.02,802,97.92,29,10.94,2663,1332.48,3559,1763.25
Sonitpur,0,0,29,69.97,215,433.47,440,41.77,4,1.53,2897,4290.82,3585,4837.5599999999995
South Salmara,0,0,0,0,9,16.88,0,0,9,6.54,532,836.55,550,859.9699999999999
Tinsukia,0,0,47,118.99,42,321.9,485,62.83,32,8.26,823,772.12,1429,1284.1
Udalguri,0,0,25,49.06,36,78.37,0,0,0,0,4030,4935.78,4091,5063.21
West Karbi Anglong,0,0,1,2.57,13,14.51,0,0,11,0.92,2,3.61,27,21.61
