District,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C No.,Forestry and wasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm mechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillary Activities A/C,Ancillary Activities Amt,Total Agri (PS) Disb No.,Total Agri (PS) Disb Amt
Baksa,3160,2082.22,0,0,33,19.95,36,9.77,1,0.05,639,288.64,153,77.11,936,398.85,30,9.85,485,785.72,5473,3672.16
Barpeta,3263,2285.26,0,0,25,9.8,227,210.45,45,57.19,1877,984.15,504,313.43,4030,1787.49,145,80.48,861,1070.42,10977,6798.67
Biswanath,2551,1888.02,0,0,15,5.95,703,391.52,0,0,760,556.87,125,67.21,1521,1064.11,64,32.29,909,2407.88,6648,6413.849999999999
Bongaigaon,1048,910.05,0,0,9,2.45,98,48.73,7,6.94,404,203.95,41,14.9,1964,882.91,119,37.75,415,534.74,4105,2642.42
Cachar,2477,1880.8,0,0,76,30.75,974,437.8,44,12.39,2458,1197.9,1938,866.49,5269,2627.08,255,721.17,1469,1958.14,14960,9732.52
Charaideo,307,223.05,0,0,10,6.5,193,116.32,0,0,345,192.92,16,9.2,962,435.5,36,20.5,331,650.54,2200,1654.53
Chirang,1405,718.93,0,0,2,0.95,100,56.65,0,0,187,128.07,61,27.74,395,263.16,384,154.3,490,597.4,3024,1947.1999999999998
Darrang,1968,1525.45,0,0,17,10.8,243,154.84,43,32.91,1495,1106.94,188,116.59,2168,1152.24,59,37.54,690,1940.02,6871,6077.33
Dhemaji,1548,1098.31,0,0,14,7.25,22,14.75,0,0,482,285.5,51,36.88,563,227.85,14,4.8,673,1035.84,3367,2711.18
Dhubri,2066,1560.19,0,0,91,34,285,121.86,0,0,1356,672.3,168,91.5,5850,2461.8,1554,725.6,1064,832.79,12434,6500.04
Dibrugarh,6041,3670.26,0,0,30,17.3,1508,966.79,94,73.77,2197,1238.84,279,147.11,5104,3143.93,102,61.77,857,6336.46,16212,15656.23
Dima Hasao,257,87.82,0,0,0,0,5,3.2,0,0,64,71.51,0,0,109,60.35,0,0,185,684.38,620,907.26
Goalpara,1130,875.41,0,0,8,5.25,76,51.25,0,0,1560,896.43,124,66.07,1525,934.84,152,53.1,564,1090.49,5139,3972.84
Golaghat,3868,2649.7,0,0,98,45.25,2296,1245.28,64,611.33,1664,850.31,179,105.54,5575,2675.61,668,306.82,995,4082.56,15407,12572.399999999998
Hailakandi,1193,628.08,0,0,10,3.4,90,40.05,0,0,550,219.16,126,46.21,1352,523.61,16,4.45,244,266.07,3581,1731.03
Hojai,1341,709.37,0,0,78,37.8,173,111.51,0,0,536,268.7,77,50.55,4041,2028.17,609,383.35,1291,1156.19,8146,4745.639999999999
Jorhat,2550,1910.52,0,0,126,80.45,710,487.93,35,28.05,2573,1368.94,212,110.61,2910,1557.67,667,370.49,677,8154.67,10460,14069.33
Kamrup Metro,3332,2166.74,0,0,11,6.95,280,251.27,74,83.39,2545,1492.32,567,355.08,3888,2428.6,130,76.45,988,1843.58,11815,8704.379999999997
Karbi Anglong,3330,2340.43,0,0,0,0,2,0.29,5,4.66,486,319.06,31,10.5,785,288.45,3,0.69,1056,2156.34,5698,5120.42
Karimganj,791,377.86,0,0,429,143.95,653,278.45,0,0,1760,680.73,817,332.55,2951,1400.28,95,34.4,1059,733.62,8555,3981.8399999999997
Kokrajhar,1609,1274.42,0,0,10,4.15,157,66.4,0,0,318,184.52,30,11.35,841,353.31,896,396.25,493,316.78,4354,2607.1800000000003
Lakhimpur,4015,2139.67,0,0,4,2.1,69,38.99,2,0.3,2034,1282.34,234,120.23,1509,822.06,106,62.5,1027,1496.28,9000,5964.469999999999
Majuli,270,186.36,0,0,0,0,7,6.75,0,0,44,15.01,8,2.7,21,7.65,0,0,94,166.71,444,385.18
Morigaon,2310,1125.67,0,0,144,81.95,151,80.04,0,0,1695,921.08,267,170.38,4959,2474.26,573,284.35,980,839.37,11079,5977.100000000001
Nagaon,5521,3177.16,0,0,64,35.25,806,502.83,63,58.14,4965,2480.41,1834,966.53,7833,3879.18,583,311.97,2275,2887.05,23944,14298.519999999997
Nalbari,1908,1181.88,0,0,7,3.85,82,67.45,51,10.98,1399,778.15,782,446.55,2100,856.95,47,19.05,601,1767.02,6977,5131.880000000001
Sivasagar,1887,1547.46,0,0,12,5.4,652,403.36,3,0.3,2863,1606.55,229,138.7,2813,1407.7,32,12.8,809,1786.34,9300,6908.610000000001
Sonitpur,3098,1656.24,0,0,40,16.75,384,281.98,60,60.83,2432,1504.74,281,167.59,4553,2485.23,397,177.9,1152,2964.16,12397,9315.42
South Salmara,129,66.41,0,0,0,0,0,0,0,0,1,1.95,0,0,1,1,0,0,7,12,138,81.36
Tinsukia,6894,3859.22,0,0,19,11.55,353,270.95,28,43.39,1171,751.58,89,53.8,2830,1649.88,62,31.8,893,6098.56,12339,12770.730000000001
Udalguri,1908,1330.29,0,0,38,13.05,13,5.52,0,0,638,319.62,69,30.22,3208,613.05,67,30.45,339,491.97,6280,2834.17
West Karbi Anglong,742,440.65,0,0,0,0,0,0,0,0,30,47.65,3,1.05,6,2.05,0,0,168,427.49,949,918.89
