district,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Baksa,12714885,387036.94,674,80.5,1013,104.11,990085,172596.6,128837,13820.49,0,0
Barpeta,117525369,4154100.64,398,106.19,338,67.14,9944731,2028534.41,308949,56189.57,0,0
Biswanath,61105804,1326031.63,6,11,31,20.12,2749206,653907.19,170311,31439.63,0,0
Bongaigaon,41192174,1307687.47,337,82.32,763,60.86,4999907,891270.36,144502,40148.27,0,0
Cachar,81500723,2422872.61,1439,286.65,1496,194.02,16065917,3141199.47,403696,119872.85,0,0
Charaideo,502320,9779.04,477,109.75,486,228.24,9199,1317.2,77579,15021.85,0,0
Chirang,654078,14081.66,2,2,13,5.21,7408,869.64,69466,8772.14,0,0
Darrang,43533940,1553261.19,467,84.34,508,96.62,4520661,929251.2,167541,27868.83,0,0
Dhemaji,8480772,260787.82,374,102.24,411,107.61,877419,164772.8,83509,28304.32,0,0
Dhubri,36323638,1338984.28,483,123.42,524,134.09,3041993,395600.19,216179,41150.77,0,0
Dibrugarh,160022967,4486256.97,2677,543.83,4495,688.99,31403026,6667495.83,508474,125491.4,0,0
Dima Hasao,407761,10032.95,3,5,7,5,988,239.06,41647,6617.02,0,0
Goalpara,39340786,1226631.9,603,164.49,630,289.45,3418347,602911.68,166913,43352.12,1,0.01
Golaghat,65382702,2124477.06,20,29.32,123,42.77,14060501,3017495.3,266216,60819.71,1,0
Hailakandi,2408042,85396.85,24,10.17,30,15.25,467009,135286.37,70104,29232.19,0,0
Hojai,42569082,1524637.74,1752,334.11,1748,356.87,7173223,1486793.59,140322,74368.98,0,0
Jorhat,127866204,3421215.38,2237,411.28,2814,421.68,26063807,4899663.07,402334,70547.24,0,0
Kamrup Metro,131708394,3729223.45,14,20,123,47.01,14411114,2943798.53,447594,67349.19,0,0
Karbi Anglong,26203864,746635.83,2,4,19,5.13,4282590,623855.55,181822,14036.13,0,0
Karimganj,32086738,1281229.52,586,135.25,604,151.5,6957325,1804326.36,145822,25780.79,0,0
Kokrajhar,22938337,743147.87,12,4.4,23,5.17,2870057,502429.83,96124,6201.07,0,0
Lakhimpur,51885288,1409404.36,84,90.45,85,80.04,6488842,1941956.42,153570,45981.68,0,0
Majuli,243114,3812.32,495,108.42,473,226.12,5303,519.11,21113,9357.7,0,0
Morigaon,45650961,1484244.07,364,94.25,729,59.89,2664050,907558.52,192992,22023.47,0,0
Nagaon,79630211,2332666.11,1449,348.3,2965,732.2,7993972,1454168.09,337620,87317.26,1,0.15
Nalbari,33552241,899361.17,518,116.05,509,237.26,3829932,782032.23,183289,31212.48,0,0
Sivasagar,70482996,1919014.07,502,121.3,846,247.69,10982003,1971880.79,236714,29065.19,0,0
Sonitpur,80988936,2486927.8,625,134.62,984,268.07,13252122,2420880.02,388941,54693.09,0,0
South Salmara,118529,2792.31,0,0,0,0,9882,1023.39,7692,379.9,0,0
Tinsukia,124106824,3927690.74,1550,636.38,3425,748.28,30898537,8150697.45,359542,161523.96,5,0.2
Udalguri,1105328,22062.86,12,6.27,7,5,22158,2711.71,72738,15326.53,0,0
West Karbi Anglong,378764,7087.39,45,0.83,0,0,2420,316.09,38249,1749.17,0,0
