District,Current Year Disbursed KCC No.,Current Year Disbursed KCC Amt,Total O/S KCC No.,Total O/S KCC Amt,Number of Rupay Card,Card Activated,AH No. of KCC,AH Amount disbursed,AH Total no. of KCC,AH Outstanding Amt,AH Number of Rupay Card,AH Card Activated,Fishery No. of KCC,Fishery Amount disbursed,Fishery Total No. of KCC,Fishery Outstanding Amt,Fishery Number of Rupay Card,Fishery Card Activated
Baksa,2704,2402.77,27830,17349.62,155515,53447,24,16.25,91,177.54,9,9,5,2.9,12,17.87,1,1
Barpeta,3154,1803.91,57499,27787.83,26081,15031,21,18.72,66,201.2,4,3,12,10.39,27,140.76,2,1
Biswanath,2105,1648.7,25463,13912.61,15976,9600,15,10.7,65,86,7,6,1,2,5,14.06,1,1
Bongaigaon,994,518.01,13883,5746.79,7984,4749,13,13.51,127,137.52,4,2,3,0.95,4,2.07,0,0
Cachar,2387,1847.37,48824,28125.35,18768,10811,11,5.41,111,125.42,54,52,30,30.57,77,82.7,9,9
Charaideo,259,153.23,9951,5488.64,7166,3585,0,0,13,26.37,0,0,0,0,0,0,0,0
Chirang,938,542.39,18702,9941.93,9892,5575,4,2,39,88.82,0,0,0,0,0,0,0,0
Darrang,2097,1464.74,41737,20551.49,21716,10661,8,6.26,53,91.87,6,4,12,7.59,27,43,6,4
Dhemaji,1739,1310.86,25650,14722.29,16367,9489,12,10.5,66,52.88,8,2,5,2.46,9,26.91,0,0
Dhubri,1432,757.38,30295,15857.64,17194,10722,17,16.87,231,150.96,29,20,0,0,6,7.83,0,0
Dibrugarh,5330,3606.05,82845,45767.45,38368,24464,18,9.46,333,291,167,152,9,12.72,15,52.2,3,3
Dima Hasao,125,109.06,2210,703.46,327,311,26,14.45,55,28.64,54,54,1,0,2,0.15,0,0
Goalpara,884,515.37,24754,11483.82,15995,7773,1,22.6,188,222.41,0,0,3,1.18,8,7.82,1,0
Golaghat,2848,2078.77,73380,34878.93,41434,28967,18,11.68,34,122.94,17,13,13,7.81,14,61.37,11,8
Hailakandi,1186,607.68,17872,8738.83,8228,3460,14,8.88,23,13.57,13,13,3,5,9,12.02,0,0
Hojai,1184,748.75,20725,10872.26,10844,6130,1,1.32,33,43.05,0,0,0,0,1,1.82,0,0
Jorhat,2446,1438.45,54633,25200.64,34162,25165,38,28.44,157,137.75,73,71,3,0.64,5,9.07,3,2
Kamrup Metro,3124,1816.62,81363,41888.07,38919,22247,7,4.63,167,211.93,5,5,6,2.98,23,58.36,2,2
Karbi Anglong,1920,1960.24,28625,12915.37,4553,2421,2,3.08,41,64.27,2,1,0,0,7,6.1,0,0
Karimganj,695,386.76,29649,16036.4,9071,6011,0,0,22,28.43,0,0,1,0.37,68,91.42,0,0
Kokrajhar,1284,815.38,21674,10882.79,12816,6189,0,0,136,142.34,0,0,1,0.61,2,1.66,0,0
Lakhimpur,2577,1947.64,61531,33891.9,23801,14378,37,95.18,65,64.78,8,5,15,0,41,120.9,0,0
Majuli,246,101.81,5138,2333.35,4554,3001,0,0,4,10.29,0,0,2,0.56,4,0.56,0,0
Morigaon,1842,1031.43,39462,22910.35,17713,8885,32,7.27,96,94.37,20,13,14,13.63,17,22.33,0,0
Nagaon,4305,3109.51,101933,48924.75,37624,21093,16,14.12,34,50.76,10,7,6,1.02,19,31.58,4,3
Nalbari,2222,943.19,43992,16425.87,16936,9991,79,67.24,268,227.01,41,40,2,1.2,22,44.66,0,0
Sivasagar,1798,1045.73,36816,15959.16,20100,12753,18,5.33,128,107.76,30,30,2,0.35,3,4.58,2,2
Sonitpur,1973,1492.1,35073,19863.35,18520,9631,23,44.5,106,209.66,6,6,8,2.62,28,85.22,2,2
South Salmara,100,34.7,2174,727.67,1463,1199,0,0,60,126.72,0,0,0,0,0,0,0,0
Tinsukia,3931,3985.45,60809,36411.14,25547,13633,19,13.98,103,135.8,24,20,1,1,7,13.1,0,0
Udalguri,1269,1271.75,32802,20570.51,14497,7069,1,1.9,98,126.93,0,0,1,0,18,11.08,0,0
West Karbi Anglong,612,419.66,10957,3942.84,1097,671,0,0,0,0,0,0,0,0,0,0,0,0
