district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Baksa,645,737.81,5585,4826.38,3028,2914.31,18503,19614.46
Barpeta,2532,1772.6,20354,13188.73,843,1024.68,8119,7415.73
Biswanath,1448,1119.1,11741,7873.69,2436,1419.74,14431,9794.52
Bongaigaon,1890,1450.15,10231,9455.76,826,1714.64,4551,7977.44
Cachar,11240,6479.82,56822,37635.67,1225,1147.35,10401,11501.1
Charaideo,154,140.35,1779,1378.3,142,143.74,1432,1167.63
Chirang,913,740.72,5027,4179.66,3209,4115.51,17108,21433.26
Darrang,402,393.1,4633,3788.87,317,413.05,3783,3665.13
Dhemaji,606,673.65,7114,6299.48,3290,4448.25,25831,29192.17
Dhubri,2499,1427.82,15386,10817.27,507,541.18,4262,4266.71
Dibrugarh,2056,2608.37,20366,24481.72,2650,5529.86,24165,37667.94
Dima Hasao,74,132.95,1274,1841.93,901,1621.92,4068,8465.49
Goalpara,985,718.48,7171,5302.07,2912,1931.03,18896,13844
Golaghat,2258,1944.09,21044,14931.55,2148,2144.93,20482,16251.76
Hailakandi,2195,1048.62,9889,7042.36,227,166.36,2115,2192.62
Hojai,2662,1839.54,18001,11512.72,1152,1071.57,7666,6704.4
Jorhat,1600,1674.22,20513,14552.91,1411,1778.16,20825,16289.52
Kamrup Metro,3467,2680.37,28044,19808.38,2897,3081.24,24501,20253.05
Karbi Anglong,264,402.84,1329,2390.13,3804,6579.2,19426,31064.51
Karimganj,6945,3207.11,32312,17444.93,630,406.16,4439,3980.14
Kokrajhar,916,633.67,5515,4925.27,5427,5566.51,24099,35366.43
Lakhimpur,1549,1403.04,19780,16659.04,4103,4126.26,27482,30134.22
Majuli,169,141.78,1437,966.94,862,251.14,3457,2433.84
Morigaon,2145,1250.5,16821,10279.08,2603,1697.21,22778,13704.96
Nagaon,4070,3220.85,36204,23646.75,2973,2285.69,23861,17918.27
Nalbari,853,686.61,9392,6866.42,450,631.24,6258,5714.78
Sivasagar,1192,1429.67,12268,11987.87,979,1662.76,8309,12596.1
Sonitpur,2421,1896.91,18851,14498.22,2442,1976.97,18816,15138.55
South Salmara,13,13.91,78,132.24,14,6.83,52,76.12
Tinsukia,932,991.9,8850,11000.89,1595,2144.26,12512,18490.88
Udalguri,593,558.06,4069,2905.51,4120,3949.18,33656,34334.07
West Karbi Anglong,47,135.09,200,553.23,481,1262.72,3078,6867.06
