district,Farm Credit Crop No.,Farm Credit Crop Amt.,Farm Credit Term Loan No.,Farm Credit Term Loan Amt.,Agri Infra No.,Agri Infra Amt.,Ancillary No.,Ancillary Amt.,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt.
Baksa,25810,16985.04,20198,10282.67,252,132.41,666,889.75,46926,28289.87
Barpeta,41512,26387.46,74052,32164.41,1083,712.27,2955,3278.85,119602,62542.98999999999
Biswanath,25147,16082.59,28975,14083.51,575,295.15,1710,2481.31,56407,32942.56
Bongaigaon,11773,6735.28,15628,8267.03,519,248.89,1834,2075.41,29754,17326.61
Cachar,47442,29136.54,50154,28036.52,1620,1963.57,8558,10630.92,107774,69767.55
Charaideo,10445,5869.63,11137,5422.15,179,158.83,514,814.2,22275,12264.81
Chirang,18132,10979.64,7253,4185.49,2889,1559.08,1616,1298.7,29890,18022.91
Darrang,33488,18444.1,40781,20355.78,364,260.27,2318,3102.66,76951,42162.81
Dhemaji,25011,14531.93,16825,7606.17,241,312.43,1337,1629.63,43414,24080.16
Dhubri,28292,18529.97,43837,24649.52,6831,3709.52,5962,4524.14,84922,51413.15
Dibrugarh,68167,42220.21,72535,38164.95,1573,1142.41,3637,12812.82,145912,94340.39000000001
Dima Hasao,2074,652.31,930,635.85,9,13.24,105,132.31,3118,1433.7099999999998
Goalpara,25474,14810.14,22188,12431.3,1207,635.76,1511,2288.73,50380,30165.929999999997
Golaghat,58474,29840.08,89475,37821.25,4559,2393.79,3268,7797.89,155776,77853.01
Hailakandi,17815,8962.83,11036,5654.71,259,293.96,1458,1529.86,30568,16441.36
Hojai,20440,10759.06,27863,13273.36,1846,1104.72,5411,4841.42,55560,29978.559999999998
Jorhat,42155,22681.25,84000,34036.96,5025,2717.39,2646,22801.78,133826,82237.38
Kamrup Metro,65655,38865.59,68170,31355.01,598,548.32,3065,5783.72,137488,76552.64
Karbi Anglong,28913,13352.13,12493,4332.31,25,26.63,719,535.58,42150,18246.65
Karimganj,26246,15626.89,32252,15198.38,957,921.75,6584,7574.89,66039,39321.909999999996
Kokrajhar,17789,11555.8,9786,6342.73,3321,1583.74,1487,901.51,32383,20383.78
Lakhimpur,54234,33410.67,47768,21023.64,864,768.03,3215,3936.38,106081,59138.719999999994
Majuli,4921,2607.65,1883,916.63,21,22.75,183,283.88,7008,3830.9100000000003
Morigaon,37907,22880.84,49151,24751.59,3058,1937.77,5310,6462.16,95426,56032.36
Nagaon,79196,43630.81,127329,55560.75,3915,2616.31,9455,9554.23,219895,111362.09999999999
Nalbari,28737,14838.91,51360,21224.46,469,299.96,1559,2605.75,82125,38969.079999999994
Sivasagar,26415,13586.05,65327,30937.02,406,349.81,2786,4074.75,94934,48947.63
Sonitpur,30168,20766.12,58042,27975.26,2606,1380.47,3561,6237.28,94377,56359.13
South Salmara,2052,2405.6,415,826.38,0,0,0,0,2467,3231.98
Tinsukia,46934,34145.95,45756,36019.56,769,5091.69,3909,12094.84,97368,87352.04
Udalguri,32005,20274.06,16266,8894.74,267,88.43,515,417.6,49053,29674.83
West Karbi Anglong,10866,3827.82,2745,1113.3,1,0,54,47.02,13666,4988.14
