district,Export No.,Export Amt.,Education PS No.,Education PS Amt.,Housing PS No.,Housing PS Amt.,Social Infra No.,Social Infra Amt.,Renewable No.,Renewable Amt.,Other PS No.,Other PS Amt.,Total OPS O/S No.,Total OPS O/S Amt.
Baksa,0,0,105,366.1,1363,10550.96,3,124.32,102,33.97,368,543.16,1941,11618.509999999998
Barpeta,0,0,364,1010.19,3069,27274.4,261,201.85,545,269.23,940,1542.51,5179,30298.179999999997
Biswanath,0,0,133,406.4,1455,12998.37,677,77.95,2,106.52,514,2418.61,2781,16007.850000000002
Bongaigaon,0,0,129,461.87,2057,16826.04,4882,1091.2,128,61.49,6097,3289.59,13293,21730.190000000002
Cachar,0,0,1102,3234.25,3600,23712.29,0,0,17,5.43,859,3958.9,5578,30910.870000000003
Charaideo,0,0,70,222.33,397,3059.76,3167,284.37,99,35.55,267,1879.85,4000,5481.860000000001
Chirang,0,0,67,211.24,714,6610.38,2,2.48,159,90.25,384,447.5,1326,7361.849999999999
Darrang,0,0,326,843.46,1628,12479.53,2602,434.76,59,30.45,566,1470.68,5181,15258.880000000003
Dhemaji,0,0,160,403.14,1705,15558.07,586,130.45,37,11.07,329,484.04,2817,16586.77
Dhubri,0,0,201,640.57,2248,17335.88,1,17.67,244,133.44,1053,1270.4,3747,19397.96
Dibrugarh,0,0,941,3264.23,5129,45484.22,9166,1117.07,27,10.56,1418,6782.66,16681,56658.740000000005
Dima Hasao,0,0,25,73.28,955,4832.59,2,1.32,0,0,180,285.55,1162,5192.74
Goalpara,0,0,130,437.22,1036,8577.92,1,4.68,505,330.7,339,1104.97,2011,10455.49
Golaghat,0,0,308,947.9,2602,21593.92,2684,358.8,12,2.98,6893,3561.13,12499,26464.73
Hailakandi,0,0,95,214.87,1080,8046.83,1,5,32,15.23,326,742.85,1534,9024.78
Hojai,0,0,133,367.29,963,7906.65,1,11.68,0,0,993,11675.91,2090,19961.53
Jorhat,0,0,705,2356.81,4703,37533.77,6465,1287.78,0,0,13932,6443.66,25805,47622.01999999999
KARIMGANJ,0,0,115,318.55,1231,6926.16,0,0,16,3.16,470,5629.68,1832,12877.55
Kamrup,0,0,1204,3524.75,4277,33438.16,6601,1344.42,25,11.03,16208,6390.08,28315,44708.44
Kamrup Metro,0,0,4125,17614.48,21990,237517.8,1709,1425.4,1,0.31,35253,23448.78,63078,280006.77
Karbi Anglong,0,0,118,328.05,2625,21902.47,2,4.59,1,0.09,436,558.39,3182,22793.59
Kokrajhar,0,0,97,291.21,1100,9536.77,1,7.98,58,41.53,364,755.21,1620,10632.7
Lakhimpur,0,0,282,861.12,3231,25947,2339,315.9,132,53.69,1112,7794.51,7096,34972.22
Majuli,0,0,45,92.42,260,1628.7,2058,301.3,0,0,505,6259.35,2868,8281.77
Morigaon,0,0,129,378.7,1699,10732.76,0,0,34,13.89,682,12936.96,2544,24062.309999999998
Nagaon,0,0,349,1098.76,4254,32785.87,1905,266.82,4,2.51,15750,12179.06,22262,46333.020000000004
Nalbari,1,0.37,333,995.81,2967,20910.02,2358,337.44,12,11.88,1919,3026.5,7590,25282.02
Sivasagar,0,0,306,1011.47,2910,23156.44,5358,587.18,29,10.94,7098,5766.29,15701,30532.32
Sonitpur,0,0,429,1363.15,3883,30158.48,4185,669.86,7,5.58,4705,10894.18,13209,43091.25
South Salmara,0,0,13,33.03,130,1349.4,0,0,9,6.54,0,0,152,1388.97
Tinsukia,0,0,562,1816.15,3101,26452.47,8475,913.3,32,8.26,942,5219.56,13112,34409.74
Udalguri,0,0,206,474.12,1481,14792.93,2,10.75,0,0,507,314.43,2196,15592.230000000001
West Karbi Anglong,0,0,16,41.33,686,6320.73,0,0,11,0.92,21,19.01,734,6381.99
