District,Savings Linked No.,Savings Linked Amt,Credit Linked No.,Credit Linked Amt,CY Savings Linked No.,CY Savings Linked Amt,CY Credit Linked No.,CY Credit Linked Amt,SHG O/S No.,SHG O/S Amt
Baksa,1033,65.47,725,861.26,1120,67.27,837,1049.61,6052,4358.07
Barpeta,639,47.45,262,630.24,686,48.57,385,839.08,4006,3251.46
Biswanath,1097,160.41,393,818.85,1175,160.85,661,1153.27,4096,3008.17
Bongaigaon,621,37.21,98,241.69,645,37.48,175,352.42,1233,1192.03
Cachar,537,32.17,127,244.31,630,34.54,195,342.48,1872,1218.19
Charaideo,189,18.91,180,478.93,205,19.03,253,595.07,1381,1037.65
Chirang,1136,53.57,117,294.78,1160,53.88,217,402.37,2041,1774.2
Darrang,860,56.33,172,626.66,911,58.03,293,797.47,3065,2650.85
Dhemaji,1164,66.36,349,704.93,1186,66.15,538,968.59,2734,1725.82
Dhubri,2871,217.32,173,405.55,2896,217.56,290,558.53,1832,1063.1
Dibrugarh,1548,192.62,252,598.71,1642,196.1,437,822.65,2330,1787.87
Dima Hasao,186,5.85,37,100.25,198,8.38,64,141.25,775,418.44
Goalpara,624,50.03,299,593.41,687,50.44,409,687.2,2570,1670.63
Golaghat,1180,95.21,366,1120.38,1198,95.46,490,1366.12,2595,2752.2
Hailakandi,525,45.03,45,66.76,541,45.49,55,83.76,1262,785.59
Hojai,398,22.37,204,322.67,409,22.6,239,364.07,929,790.18
Jorhat,731,87.86,217,542.75,741,87.76,314,688.45,2234,2072.98
Kamrup Metro,804,29.53,310,688.83,841,30.6,495,945.49,4293,3339.54
Karbi Anglong,176,10.03,173,426.25,206,10.45,315,583.04,3422,1369.24
Karimganj,499,16.72,99,178.96,531,17.28,146,248.58,1859,949.12
Kokrajhar,990,53.5,79,173.46,1019,53.9,144,240.96,1487,1264.3
Lakhimpur,1391,102.89,359,944.69,1437,103.52,670,1409.19,3344,2692.92
Majuli,67,1.64,23,92,72,1.84,41,137,616,392.77
Morigaon,620,21.56,158,320.37,621,21.57,242,419.25,3285,2159.03
Nagaon,3715,100.47,551,1277.09,3778,117.08,819,1609.62,3618,3037.57
Nalbari,462,63.62,374,1279.55,506,65.33,593,1729.66,4538,4491.58
Sivasagar,643,77.6,210,686.62,656,77.81,332,881.62,1553,1340.18
Sonitpur,1274,296.77,434,1252.91,1309,297.5,664,1650.05,5044,3810.47
South Salmara,24,0.5,6,11.15,24,0.5,7,12.45,283,142.77
Tinsukia,763,44.5,418,926.97,813,46.18,590,1203.76,2613,2095.03
Udalguri,1246,66.41,142,394.78,1259,66.17,236,512.26,2166,1822.78
West Karbi Anglong,296,10.7,40,111.71,310,10.9,122,214.21,2334,982.88
