district,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt.,of which girl student Sanctioned Amt.,Disb. Number,of which girl student Disb No.,Disb. Amt.,of which girl student Disb Amt.,O/S No.,of which girl student O/S No.,O/S Amt.,of which girl student O/S Amt.
Baksa,2,1,5.2,2.14,16,4,82.94,42.25,108,21,396.57,122.47
Barpeta,16,11,42.12,13.01,74,24,117.04,49.76,370,112,1115.31,292.51
Biswanath,2,1,1.05,0.55,21,9,63.78,19.71,134,52,402.35,158.75
Bongaigaon,4,4,10.06,7.24,22,4,70.33,10.37,137,41,549.11,196.49
Cachar,20,9,32.04,10.18,325,41,1011.93,118.34,1106,218,3165.48,669.26
Charaideo,1,1,1.16,1.16,9,3,23.88,8.8,71,24,235.48,84.65
Chirang,0,0,0,0,8,0,43.25,0,68,13,250.32,38.07
Darrang,11,9,30.2,28.9,89,16,148.33,43.58,313,129,851.51,300.5
Dhemaji,3,2,2.55,2.43,17,6,39.06,18.84,162,50,404.31,145.9
Dhubri,5,0,10.02,0,32,3,105,11.7,205,34,633.84,143.75
Dibrugarh,13,18,58.74,39.08,148,52,598.31,245.84,953,343,3315.58,1163.89
Dima Hasao,0,0,0,0,5,0,9.83,0,26,9,73.29,33.43
Goalpara,0,0,0,0,24,2,39.36,15.12,132,34,463.68,107.75
Golaghat,16,11,58.96,28.47,72,20,259.28,133.07,318,110,1060.88,400.28
Hailakandi,1,1,5.42,5.42,7,2,21.96,9.44,95,20,219.04,61.53
Hojai,1,0,3.52,0,14,3,55.5,14.82,135,31,377.74,88.52
Jorhat,15,19,77.72,68.68,149,65,954.23,478.48,720,290,2845.65,1191.18
KARIMGANJ,4,1,7.9,1.65,16,2,41.56,3.16,116,29,329.54,79.39
Kamrup,21,7,43.04,15.2,414,78,1377.68,304.9,1218,247,3578.02,749.02
Kamrup Metro,70,89,264.12,229.59,579,202,3326.32,1325.43,4182,1418,19665.81,6425.34
Karbi Anglong,3,2,3.28,1.91,18,5,64.79,11.33,120,41,355.74,120.93
Kokrajhar,3,0,21.45,0,16,2,61.75,9.91,101,20,301.98,66.1
Lakhimpur,9,5,11.16,8.66,45,13,127,35.62,285,89,796.42,241.27
Majuli,1,0,0.57,0,7,0,12.25,0,45,6,96.4,14.67
Morigaon,6,5,5.52,4.77,14,5,49.95,11.01,129,37,385.94,127.34
Nagaon,13,10,67.71,59.1,50,19,136.88,33.68,354,96,1185.44,288.52
Nalbari,9,5,13.39,3.64,67,18,245.56,108.43,335,86,1090.4,354.4
Sivasagar,7,9,34.63,37.86,55,22,178.45,70.2,300,114,878.54,316.11
Sonitpur,17,18,49.77,46.41,78,27,251.1,147.52,432,141,1278.2,522.51
South Salmara,0,0,0,0,1,0,0.67,0,13,2,58.02,9.25
Tinsukia,16,11,42.58,15.92,105,26,345.26,82.6,566,167,2016.26,568.7
Udalguri,11,9,7.24,6.49,72,29,102.27,34.97,210,106,548.62,256.16
West Karbi Anglong,3,1,5.08,1.31,3,1,2.96,1.31,17,5,42.01,14.1
