district,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
Baksa,5624,2667.62,5995,4052.91,4,5.49,34,32.18,11657,6758.2
Barpeta,11614,5662.82,6693,4512.74,49,66.84,96,145.82,18452,10388.22
Biswanath,3346,1807.12,5247,2446.12,2,2,20,27.33,8615,4282.57
Bongaigaon,2610,1138.51,1300,649.16,15,13.96,57,127.46,3982,1929.0900000000001
Cachar,12854,6894.7,3410,2538.83,145,160.55,415,787.57,16824,10381.649999999998
Charaideo,863,546.04,1311,858.92,9,10.91,43,74,2226,1489.8700000000001
Chirang,3564,1654.01,2895,1916.23,3,5,20,38.08,6482,3613.3199999999997
Darrang,9269,4549.14,6066,4452.67,48,39.74,72,216.48,15455,9258.03
Dhemaji,5886,2934.31,3992,2393.07,16,27.73,100,141.51,9994,5496.62
Dhubri,10312,4801.54,4896,2725.39,44,42.92,122,142.13,15374,7711.9800000000005
Dibrugarh,19687,10748.37,14118,4847.02,48,65.27,297,599.12,34150,16259.780000000002
Dima Hasao,882,243.32,35,20.88,1,1,5,9,923,274.2
Goalpara,5126,2257.66,3987,3590.61,13,13.08,89,129.62,9215,5990.97
Golaghat,21728,9100.58,11188,3745.35,132,131.74,216,516.49,33264,13494.16
Hailakandi,4966,2411.61,1656,944.09,17,27,89,103.73,6728,3486.4300000000003
Hojai,5221,2803.07,916,512.68,20,25,141,185.42,6298,3526.17
Jorhat,13786,5823.97,14946,4393.55,123,54.29,207,1750.05,29062,12021.86
KARIMGANJ,5086,2460.87,3230,1536.33,39,70,273,469.75,8628,4536.95
Kamrup,19995,10625.16,8260,4808.18,80,66.1,168,244.91,28503,15744.35
Kamrup Metro,4572,2860.46,3729,7021.37,5,230.05,98,1637.46,8404,11749.34
Karbi Anglong,5941,2553.84,733,488.57,2,3.3,12,25.06,6688,3070.7700000000004
Kokrajhar,3377,1374.12,3333,2405.96,1,2,22,29.98,6733,3812.06
Lakhimpur,12969,7258.15,5588,3086.77,141,75.17,247,327.61,18945,10747.7
Majuli,890,292.63,1053,896.8,2,2,14,16,1959,1207.4299999999998
Morigaon,5885,3265.73,4640,2807.32,35,60.33,290,514.12,10850,6647.5
Nagaon,27350,12177.05,9004,4566.24,162,154.59,426,565.44,36942,17463.32
Nalbari,8948,3861.58,5083,2952.83,8,11.29,63,91.1,14102,6916.8
Sivasagar,8810,3471.04,8276,3217.39,37,34.82,122,200.55,17245,6923.8
Sonitpur,5618,3104.89,8393,4023.04,86,53.99,95,226.29,14192,7408.21
South Salmara,1114,345.81,360,470.57,0,0,0,0,1474,816.38
Tinsukia,10143,6468.63,4647,2010.39,36,60.07,270,407.69,15096,8946.78
Udalguri,14019,8689.79,7663,4650.25,0,0,23,22.54,21705,13362.580000000002
West Karbi Anglong,1517,629.07,226,106.22,0,0,2,0,1745,735.2900000000001
