district,Disbursement No.,Disbursement Amt.,Oustanding No.,Oustanding Amt.
Baksa,492,182.15,34052,8224.17
Barpeta,742,531.19,27014,10753.51
Biswanath,4,4.26,16630,3679.04
Bongaigaon,634,465.34,12737,4195.47
Cachar,34,32.77,7328,2425.46
Charaideo,55,18.83,7438,1305.08
Chirang,1,5,5808,1299.76
Darrang,371,162.24,17466,5142.87
Dhemaji,66,28.03,21784,5094.82
Dhubri,5,14.63,6380,1413.94
Dibrugarh,150,89.22,42643,9538.49
Dima Hasao,0,0,328,217.82
Goalpara,80,242.58,16221,4959.61
Golaghat,602,373.96,29285,10197.07
Hailakandi,0,0,1748,270.2
Hojai,0,0,11532,2751.83
Jorhat,1075,520.46,38692,14369.37
Kamrup Metro,4305,2202.6,49504,20505.37
Karbi Anglong,34,31.3,13855,3394.8
Karimganj,26,29.48,6420,1910.06
Kokrajhar,11,39.83,65,97.69
Lakhimpur,160,79.17,39870,10975.25
Majuli,215,71.15,5317,927.99
Morigaon,28,53.45,10592,3156
Nagaon,1558,1143.73,34690,15298.25
Nalbari,1181,673.55,21346,8657.29
Sivasagar,83,64.04,29947,8484.89
Sonitpur,1045,528.75,25487,7352.87
South Salmara,0,0,6,2.92
Tinsukia,423,207.36,26358,5976.23
Udalguri,79,47.24,14303,3608.74
West Karbi Anglong,0,0,827,294.56
