district,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Baksa,27531,467693,21709,96143,700352,57181,13087,136761
Barpeta,33929,866645,24632,139239,1345438,95404,19928,193096
Biswanath,16912,265412,11009,45210,391773,32902,13057,75179
Bongaigaon,12323,254103,8716,55010,401197,36083,9119,76452
Cachar,44854,483591,29846,119108,808434,79956,19394,183356
Charaideo,6917,134990,5042,21120,207009,15482,4571,32608
Chirang,14314,296358,11134,42745,446785,35186,7332,64391
Darrang,27684,448085,19090,80285,749615,56521,12977,120946
Dhemaji,20618,284214,13642,69525,496083,47947,17302,107445
Dhubri,23866,599314,16401,135749,1059875,101693,16667,176282
Dibrugarh,48989,552256,38152,134588,835002,94489,24060,207637
Dima Hasao,9328,70484,3878,21317,102423,14491,5735,36380
Goalpara,18184,398662,12631,81969,664892,56391,11678,111831
Golaghat,138517,464985,69113,431180,916866,353460,31068,600765
Hailakandi,14005,217975,10001,39610,419352,30041,7404,61019
Hojai,16042,256726,10796,52184,432680,35786,6702,74928
Jorhat,29970,337609,21410,103831,524328,67705,18527,152328
KARIMGANJ,15871,288354,11226,44126,500160,30736,11362,71359
Kamrup,39080,766251,31091,120799,1154001,87106,24233,184112
Kamrup Metro,81973,898839,64400,195270,1353348,135667,39781,317024
Karbi Anglong,21830,270616,17057,69381,371412,61504,19832,111043
Kokrajhar,17701,389515,14360,47218,665139,35923,6232,71151
Lakhimpur,28251,331950,18552,90824,547931,61598,18995,138070
Majuli,2356,64457,1495,8212,101701,6470,3400,13968
Morigaon,15383,304096,9983,42847,481397,28276,10907,69137
Nagaon,54424,702256,35386,148406,1286985,91563,28413,231243
Nalbari,23080,398450,16237,72987,610351,54483,11408,107475
Sivasagar,31662,275723,23117,82049,439810,59321,11133,124844
Sonitpur,47275,593383,32076,107015,897595,73271,19846,174136
South Salmara,946,76382,657,5177,120627,3944,867,6990
Tinsukia,33325,510634,23868,85649,744994,60624,20023,138997
Udalguri,30363,484392,20395,65507,741185,46228,9082,104952
West Karbi Anglong,7632,108373,6173,21370,154254,19439,8565,37567
