district,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Baksa,39461,19627.03,5189,3638.98
Barpeta,148132,69519.34,16528,10632.99
Biswanath,59874,29323.37,7129,4527.66
Bongaigaon,81161,37367.51,14207,7249.83
Cachar,191308,109015.24,40083,24830.97
Charaideo,21557,11329.6,2967,2156.72
Chirang,31201,18644.42,5348,3081.66
Darrang,86526,41871.78,9498,6545.83
Dhemaji,47990,26996.02,5107,3922.63
Dhubri,115047,61108.23,22327,12224.65
Dibrugarh,172532,111845,19794,20812.47
Dima Hasao,4531,7949.33,731,1453
Goalpara,64099,31482.83,9444,5337.51
Golaghat,172792,71571.37,21560,12245.78
Hailakandi,33816,17740.6,8053,3681.73
Hojai,69654,33701.28,11805,6551.17
Jorhat,167733,89922.6,14812,23822.13
KARIMGANJ,98644,45389.93,20157,9481.39
Kamrup,227456,108361.25,26020,17292.75
Kamrup Metro,203521,323081.29,26733,43003.83
Karbi Anglong,36812,24500.77,6861,6195.83
Kokrajhar,40825,25185.52,9795,4431.56
Lakhimpur,118177,59922.53,11291,7920.31
Majuli,4884,1956.15,693,306.77
Morigaon,79018,37670.01,12037,6766.1
Nagaon,241228,119826.03,31627,20888.69
Nalbari,101673,43838.39,10335,8961.43
Sivasagar,125051,73949.23,14033,14469.49
Sonitpur,133659,74593.45,17575,20487.54
South Salmara,844,692.34,112,55.98
Tinsukia,104861,67892.08,13284,14051.58
Udalguri,34861,19455.61,5625,3490.85
West Karbi Anglong,5907,5166.84,676,1091.43
