District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt. Deposits held in the A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Baksa,486386,96364,215567,358693,574260,33334,15367.13,419056,277827,3147
Barpeta,827588,154828,430609,617253,1047862,107468,61952.3,673253,493845,8988
Biswanath,268440,25075,121293,181233,302526,20462,8303.39,115109,70335,1684
Bongaigaon,197514,108356,120441,185447,305888,20863,9432.02,244516,177506,4840
Cachar,455255,125052,264547,319876,584423,37730,20404.59,351685,230654,8602
Charaideo,115053,25417,57309,103461,160770,13699,5174.68,93060,42494,255
Chirang,304720,13306,122880,209255,332135,22508,8658.38,239042,146824,1106
Darrang,404159,167489,252631,389758,642389,69845,22833.78,337089,220243,4479
Dhemaji,520378,63717,251300,337199,588499,30530,9920.87,357971,259166,2942
Dhubri,821085,199096,452162,660631,1112793,102796,21088.52,638772,440557,13360
Dibrugarh,360116,142034,198866,295795,494661,32364,19163.6,301824,188260,5995
Dima Hasao,27166,7932,14377,21245,35622,445,1345.24,22234,14918,2011
Goalpara,335717,160939,188691,319340,508031,44179,10376.16,319726,198996,2964
Golaghat,2268533,1277413,1683400,1862065,3545465,212470,244119.25,2214833,2127289,107965
Hailakandi,234769,71104,135015,175255,310270,23654,18803.9,181154,116026,5810
Hojai,206513,153844,144761,208500,353261,26289,14326.08,270598,165105,28419
Jorhat,156428,90949,96969,153198,250167,17263,16908.99,171496,118896,3344
Kamrup Metro,686998,74358,276255,448592,724847,53467,24250.06,560440,305751,7763
Karbi Anglong,103759,30489,53879,79734,133613,4947,3612.28,69733,49110,4211
Karimganj,361993,34035,178325,219547,397872,36736,14678.43,210233,132928,4114
Kokrajhar,373853,122255,214274,289565,503839,48494,15611.79,298785,213112,4969
Lakhimpur,426348,153456,247934,333514,581448,24932,13927.43,390343,280334,5007
Majuli,69961,0,27146,42800,69946,6012,1106.37,31566,24263,210
Morigaon,268228,95719,144919,228263,373182,24452,20328.69,269418,130917,8359
Nagaon,1082719,217529,564518,740668,1305186,130044,36405.61,749256,479000,159014
Nalbari,287642,72825,141775,222180,363955,24992,15330.87,205481,127000,5354
Sivasagar,170966,37752,84263,132729,216992,11406,13582.67,180243,115607,2716
Sonitpur,377936,150611,218966,356609,575575,46375,20091.43,391810,282396,35647
South Salmara,71790,19842,47100,78527,125627,21754,889.17,32486,24575,900
Tinsukia,255272,132456,150057,234254,384311,35981,38562.59,239472,158292,4221
Udalguri,426526,96857,206521,328033,534554,56002,13378.35,327156,233757,3392
West Karbi Anglong,70054,0,27566,42477,70043,2772,3510.97,33976,23314,4073
