district,Sishu O/S No.,Sishu O/S Amt.,Sishu NPA No.,Sishu NPA Amt.,Kishore O/S No.,Kishore O/S Amt.,Kishore NPA No.,Kishore NPA Amt.,Tarun O/S No.,Tarun O/S Amt.,Tarun NPA No.,Tarun NPA Amt.,Total MUDRA O/S No.,Total MUDRA O/S Amt.,Total MUDRA NPA No.,Total MUDRA NPA Amt.
Baksa,5471,1267.13,3918,886.67,2929,2571.57,1711,1127.36,270,828.53,9,44.3,8670,4667.2300000000005,5638,2058.33
Barpeta,35167,7204.68,17229,3802.16,12323,9126.25,6995,2792.92,710,3583.84,54,316.79,48200,19914.77,24278,6911.87
Biswanath,8951,2014.71,6596,1462.95,4728,2733.71,3176,1066.97,129,742.38,9,31.79,13808,5490.8,9781,2561.71
Bongaigaon,12762,2533.88,7578,1631.16,3339,2271.76,2128,705.7,414,2051.77,22,105.39,16515,6857.41,9728,2442.25
Cachar,44503,11823.47,30350,6605.38,15032,18454.55,8549,2431.09,716,3673.26,27,139.72,60251,33951.28,38926,9176.19
Charaideo,5098,1258.5,3756,897.54,1711,1553.68,868,441.08,133,828.53,5,22.56,6942,3640.71,4629,1361.1799999999998
Chirang,4669,1148.7,3524,802.55,2335,2262.86,1231,843.52,97,584.76,14,78.84,7101,3996.3200000000006,4769,1724.9099999999999
Darrang,16440,3395.34,10583,2393.8,7166,4920.68,4619,1805.13,506,2585.75,98,407.44,24112,10901.77,15300,4606.37
Dhemaji,8241,1635.63,4338,841.48,3614,4027.51,1099,653.42,315,1999.5,25,139.84,12170,7662.64,5462,1634.74
Dhubri,23676,5932.99,18513,4497.11,8924,6147.28,5592,2216.37,374,2413.58,39,205.53,32974,14493.85,24144,6919.009999999999
Dibrugarh,36943,7419.81,21240,4411.11,13536,11350.96,7313,3262.21,2026,9214.79,134,748.33,52505,27985.56,28687,8421.65
Dima Hasao,487,106.01,57,22.08,1047,1954.59,56,63.75,594,2777.13,3,7.58,2128,4837.73,116,93.41
Goalpara,17588,3522.86,8075,1753.11,3411,2313.22,2023,775.3,154,635.28,13,55.6,21153,6471.36,10111,2584.0099999999998
Golaghat,39718,7485.55,18020,3741.71,13196,8477.46,7181,2475.19,768,4883.94,101,579.45,53682,20846.949999999997,25302,6796.349999999999
Hailakandi,8649,2140.71,6495,1563.11,3603,3338.4,1629,634.78,185,1208.41,14,70.42,12437,6687.52,8138,2268.31
Hojai,14602,3497.69,9685,2016.04,6367,6638.55,3333,1279.42,625,3580.98,68,387.83,21594,13717.22,13086,3683.29
Jorhat,46946,8287.25,21401,4120.27,12077,9255.1,5940,2295.68,1074,5785.81,73,387.63,60097,23328.16,27414,6803.580000000001
Kamrup Metro,54965,11232.72,21181,4403.27,16701,11760.19,7260,2894.94,1219,5578.44,72,412.46,72885,28571.35,28513,7710.670000000001
Karbi Anglong,3869,713.3,1183,200.84,1606,2531.47,199,241.05,1516,7393.24,22,71.56,6991,10638.009999999998,1404,513.45
Karimganj,27697,6196.75,18313,4266.33,7006,5268.2,3898,1333.13,425,2560.17,18,97.11,35128,14025.12,22229,5696.57
Kokrajhar,9594,2434.04,7455,1677.4,2455,2387.49,1378,890.1,104,627.94,6,36.14,12153,5449.469999999999,8839,2603.64
Lakhimpur,13069,2809.98,8804,1840.74,7665,6081.45,4247,1984.13,639,3041.66,82,579.08,21373,11933.09,13133,4403.95
Majuli,519,174.49,156,67.76,390,567.94,68,78.11,49,298,2,13.94,958,1040.43,226,159.81
Morigaon,16727,3402.71,9744,2123.63,8505,6567.47,4387,1840.75,643,3982.26,74,403.82,25875,13952.44,14205,4368.2
Nagaon,50091,9548.96,24169,5147.37,18476,11917.43,11663,4385.42,1257,7039.4,329,2020.96,69824,28505.79,36161,11553.75
Nalbari,28570,5577.73,10785,2270.33,6729,4839.07,3577,1430.27,297,1512.74,31,175.04,35596,11929.539999999999,14393,3875.64
Sivasagar,18146,3795.39,13062,2748.78,8799,5864.46,4764,1688.48,724,3757.92,51,291.19,27669,13417.77,17877,4728.45
Sonitpur,28782,5623.62,13921,2945.23,12669,8477.68,7339,2603.91,743,3836.9,46,237.01,42194,17938.2,21306,5786.15
South Salmara,177,41.49,30,11.15,260,331.3,82,119.67,14,111.54,1,5.76,451,484.33000000000004,113,136.57999999999998
Tinsukia,17555,3479.66,10395,2043.05,8717,9020.22,3397,1619.36,1132,6234.66,50,305.77,27404,18734.54,13842,3968.18
Udalguri,5976,1404.14,3911,857.75,2526,2580.95,1381,977.24,89,515.13,7,32.34,8591,4500.22,5299,1867.33
West Karbi Anglong,317,56.27,72,19.55,225,424.83,18,30.38,394,1780.47,3,17.87,936,2261.57,93,67.8
