district,Target No. of Projects,CY SANCTION A/C No.,CY SANCTION Amt.,CY DISBURSED A/C No.,CY DISBURSED Amt.,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA No.,PMEGP NPA Amt.
Baksa,167,17,52.36,33,58.28,6145,7097.98,3260,3246.25
Barpeta,233,19,84.25,38,73.82,908,1472.46,554,903.89
Biswanath,167,11,28.56,14,26.27,260,407.48,173,244.5
Bongaigaon,167,12,20.87,15,26.09,545,715.6,418,543.5
Cachar,167,31,110.74,33,68.83,709,1138.63,423,652.99
Charaideo,167,4,18.31,16,41.49,189,421.84,93,196.83
Chirang,167,29,43.92,34,34.01,1559,1974.52,994,1204.7
Darrang,167,16,25.63,64,63.2,829,1283.7,603,911.26
Dhemaji,193,42,99.48,30,74.92,704,1511.14,290,505.16
Dhubri,167,33,131.48,81,157.14,1476,1819.46,651,676.8
Dibrugarh,233,47,152.09,93,150.03,904,1654.81,486,796.53
Dima Hasao,137,10,36.22,12,29.47,185,251.09,10,8.06
Goalpara,167,9,17.43,30,42.05,936,1158.42,548,722.87
Golaghat,176,288,420.36,286,379.74,599,1041.32,393,638.81
Hailakandi,137,15,51.93,15,40.82,454,615.37,268,363.43
Hojai,167,12,56.75,10,50.91,130,270.53,17,27.14
Jorhat,233,12,35.61,32,63.18,469,823.3,252,352.76
Kamrup Metro,233,31,68.75,40,60.12,1119,1600.16,701,953.52
Karbi Anglong,137,13,43.7,14,33.6,272,258.46,121,51.55
Karimganj,147,37,118.41,42,103.65,396,606.45,126,187.42
Kokrajhar,176,64,159.67,152,154.26,1916,2313.97,1350,1558.64
Lakhimpur,176,11,30.72,11,24.84,565,1143.03,338,660.98
Majuli,167,2,2.46,1,1,85,133.76,48,61.22
Morigaon,233,14,40.71,14,29.09,543,816.28,353,531.27
Nagaon,233,55,109.98,44,81.25,1026,1861.65,574,890.66
Nalbari,233,24,74.69,29,57.73,972,1631.85,638,1082.77
Sivasagar,176,46,91.77,36,60.65,515,1194.52,198,424.35
Sonitpur,176,91,266.07,161,258.98,1067,1933.74,511,826.52
South Salmara,137,2,4.26,27,6.9,382,434.03,319,384.76
Tinsukia,176,17,30.53,33,38.68,726,1150.21,343,514.38
Udalguri,167,4,9,205,95.62,1738,2737.94,1310,2179.71
West Karbi Anglong,127,0,0,0,0,21,23.79,1,0.06
