district,SHG No.,SHG Amount,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt.
Baksa,541,708.29,7052,5111.14,864,944.3,280,246.88
Barpeta,789,1242.5,2197,1901.07,261,241.39,203,161.16
Biswanath,760,1125.9,2515,2247.52,579,410.13,211,176.48
Bongaigaon,376,522.56,1059,1171.43,294,289.45,22,14.25
Cachar,217,330.4,810,589.63,109,82.49,24,14.55
Charaideo,214,546.17,1055,856.76,195,143.5,107,38.89
Chirang,659,672.36,1609,1449.25,199,132.26,58,24.87
Darrang,399,604.98,1282,1387.24,205,264.45,140,131.53
Dhemaji,579,910.48,1786,1260.21,258,180.27,237,80.39
Dhubri,809,1139.79,1252,1027.49,197,70.6,207,38.18
Dibrugarh,741,882.24,2125,1711.64,330,253.36,165,34.85
Dima Hasao,63,127.25,163,139.43,138,128.4,9,4.45
Goalpara,817,911.77,1520,1168.13,267,165.21,148,60.84
Golaghat,1141,1731.71,2176,2523.98,321,280.6,55,25.25
Hailakandi,149,207.72,778,520.25,110,89.95,129,28.81
Hojai,242,342.08,898,752.58,149,151.06,94,37.86
Jorhat,500,968.21,1990,2013.61,257,160.59,35,25.67
Kamrup Metro,1167,1381.46,2813,2558.28,290,224.2,541,434.52
Karbi Anglong,309,554.08,1450,998.69,941,730.31,199,102.44
Karimganj,184,281.14,666,421.93,109,62.48,82,30.34
Kokrajhar,396,380,776,595.72,140,67.01,73,25.26
Lakhimpur,747,1442.3,2730,2403.32,308,272.91,356,153.92
Majuli,91,217.43,482,381.87,54,42.8,53,35.14
Morigaon,208,377.77,1382,1079.1,158,144.26,295,225.93
Nagaon,1090,1818.74,3481,3126.89,575,345.41,266,108.5
Nalbari,841,1236.4,2585,3175.88,507,633.31,139,71.24
Sivasagar,587,1162.43,1345,1275.75,212,114.64,112,37.5
Sonitpur,1249,1705,3443,3129.93,290,283.02,322,122.78
South Salmara,191,40.45,229,119.51,57,63.37,142,29.62
Tinsukia,660,1174.88,2204,2133.27,295,267.49,71,25.67
Udalguri,396,542.78,1172,1184.4,149,116.39,75,76.72
West Karbi Anglong,108,197.21,782,503.81,423,334.79,176,93.47
