district,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Baksa,10880,101384.87,2006,43782.2,797,5773.11,0,0,0,0,0,0
Barpeta,3273,29745.45,105,2547.21,1544,14422.82,29,301.02,5,45.14,31,334.14
Biswanath,1577,13966.47,41,1359.99,570,5187.43,2,22.08,1,8.06,11,191.1
Bongaigaon,1885,16597.09,86,2219.17,210,1903.09,19,220.86,0,0,51,648.81
Cachar,2814,20333.58,225,4583.11,318,2933.09,55,665.12,6,98.45,85,982.73
Charaideo,390,2888.66,5,170.64,89,844.08,1,35.61,1,20,1,20
Chirang,619,5613.87,14,370.82,496,5154.92,0,0,0,0,0,0
Darrang,1506,12056.83,46,1040.03,274,2276.78,7,62,6,55.23,10,88.17
Dhemaji,1582,14714.67,14,384.7,492,4968.83,13,147.57,1,12.18,15,173.15
Dhubri,2009,15192.55,78,1378.88,388,3408.35,11,92.72,2,11.07,20,166.26
Dibrugarh,4555,40513.59,344,8520.25,1276,12553.15,42,553.31,6,71.33,57,878.89
Dima Hasao,953,4830.44,10,249,326,1182.47,2,27.97,1,3.6,2,13.57
Goalpara,995,8525.17,10,115.28,265,2187.5,2,9.65,0,0,3,16.41
Golaghat,2338,20628.15,119,2749.09,618,6243.4,11,121.08,0,0,13,140.49
Hailakandi,859,7280.93,6,253.1,62,452.53,9,80.61,2,19.55,9,80.61
Hojai,823,6840.36,34,1016.76,43,403.72,1,12.7,0,0,1,12.7
Jorhat,5265,35290.76,485,9757.48,790,7872.1,44,439.07,5,45.62,60,652.85
KARIMGANJ,860,5546.4,27,739.1,154,1203.52,4,48.56,0,0,4,48.56
Kamrup,3458,26526.07,125,3324.43,2164,18517.02,34,575.43,2,27.86,54,857.99
Kamrup Metro,20091,189781.08,3689,103360.65,633,6176.57,288,5559.85,103,1402.72,982,18276.6
Karbi Anglong,2558,21218.02,22,637.73,1433,12104.05,1,0.6,1,9.16,1,0.6
Kokrajhar,1179,10270.64,57,1728.21,284,3455.9,1,5.94,0,0,3,27.61
Lakhimpur,2434,23130.02,72,1782.47,502,5175.67,4,37.3,1,10.04,13,181.63
Majuli,68,653.54,0,0,67,653.14,0,0,0,0,0,0
Morigaon,839,6165.93,12,243.61,199,1132.16,1,9.91,0,0,2,22.56
Nagaon,3426,28406.42,94,2280.39,1024,9807.94,26,309.25,1,20.11,26,309.25
Nalbari,2883,20310.79,39,824.96,887,5192.14,3,24.45,0,0,3,24.45
Sivasagar,2640,21691.35,139,2628.73,496,5170.52,31,296.54,22,233.89,32,301.03
Sonitpur,3427,26901.52,255,6125.61,677,5715.91,40,383.15,3,47.63,51,535.54
South Salmara,232,2360.77,0,0,112,1042.6,0,0,0,0,0,0
Tinsukia,2619,25210.54,208,4746.79,591,6052.59,29,417.46,7,106.89,32,436.38
Udalguri,1457,14456.3,1,45.4,328,3284.1,3,30.21,0,0,3,30.21
West Karbi Anglong,745,6950.38,0,0,745,6950.4,0,0,0,0,0,0
