District,Inactive BCs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Baksa,15,319150,289774,77997,15359
Barpeta,26,585727,429362,34739,23643
Biswanath,4,99308,72458,11119,13652
Bongaigaon,5,210992,160868,17314,7250
Cachar,41,302455,201611,42710,16560
Charaideo,2,52455,41263,815,6986
Chirang,17,165136,146029,5935,9634
Darrang,19,246678,193832,18398,17691
Dhemaji,17,294174,270770,17503,13140
Dhubri,25,484535,439447,38195,15066
Dibrugarh,75,274923,198891,40605,26493
Dima Hasao,8,31901,19095,21849,241
Goalpara,23,226234,198887,11837,15580
Golaghat,20,188769,146301,23882,27594
Hailakandi,38,146773,110076,17186,7645
Hojai,7,210481,178678,42562,9031
Jorhat,42,178568,121658,25479,23089
Kamrup Metro,63,400169,272474,37278,31347
Karbi Anglong,13,100756,57931,36112,3466
Karimganj,13,162245,142882,20897,6819
Kokrajhar,5,235733,200512,21887,14359
Lakhimpur,3,317389,280623,23448,19970
Majuli,21,31175,27176,2363,3645
Morigaon,11,151940,100679,23915,16022
Nagaon,109,550934,471857,204356,29228
Nalbari,22,152022,125305,31009,15849
Sivasagar,8,147054,121249,15786,14323
Sonitpur,35,337542,259972,69745,16301
South Salmara,14,25241,19410,6736,1843
Tinsukia,56,242982,151439,27314,20611
Udalguri,32,263736,245740,12225,13260
West Karbi Anglong,6,30367,29811,8152,533
