District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt
Baksa,24416,15952.71,130,1907.13,44,108.92,1204,4283.11,25794,22251.87
Barpeta,76597,55390.08,1187,11042.69,65,1974.18,1215,2495.33,79064,70902.28
Biswanath,30870,18229.54,218,2862.9,9,813.97,1161,4247.43,32258,26153.840000000004
Bongaigaon,38679,29519.57,1192,16120.29,86,2728.01,962,3753.04,40919,52120.91
Cachar,150688,111137.17,1906,26733.72,173,4178.72,882,8849.25,153649,150898.86000000002
Charaideo,11302,9809.65,78,1269.58,2,42,239,635.17,11621,11756.4
Chirang,19812,14978.33,81,2617.17,1,1.03,432,3587.76,20326,21184.29
Darrang,48767,35810.55,497,4741.34,12,345.44,1052,3276.87,50328,44174.200000000004
Dhemaji,30218,17264.99,263,3731.45,15,661.36,1053,1703,31549,23360.800000000003
Dhubri,64831,45413.5,370,3568.58,10,334.86,1151,4762.25,66362,54079.19
Dibrugarh,78665,82649.79,2195,40029.98,170,8557.64,3664,21658.91,84694,152896.31999999998
Dima Hasao,1337,2362.2,204,666.16,5,10.07,146,418.82,1692,3457.25
Goalpara,42071,26036.95,308,3290.6,13,335.98,836,1764.73,43228,31428.26
Golaghat,49944,35661.14,998,15779.48,31,3100.38,1471,5820.1,52444,60361.09999999999
Hailakandi,24987,15614.42,408,4081.54,11,48.25,406,662.45,25812,20406.66
Hojai,35790,24352.27,359,2621.42,6,63.47,683,3548.55,36838,30585.710000000003
Jorhat,54858,56307.1,1414,36340.02,105,8904.51,1365,18405.6,57742,119957.22999999998
Kamrup Metro,140813,84039.38,1594,18194.84,438,11765.03,1874,9158.85,144719,123158.1
Karbi Anglong,14701,7641.67,173,1549.78,33,386.96,597,2410.34,15504,11988.75
Karimganj,66344,44483.62,510,5610.39,18,1303.31,708,3042.44,67580,54439.76
Kokrajhar,23994,19363.98,129,1384.48,23,621.89,552,1777.35,24698,23147.699999999997
Lakhimpur,61104,41019.33,767,11820.1,15,442.41,2915,5673.84,64801,58955.68000000001
Majuli,3810,4012.91,39,638.13,0,0,786,854.16,4635,5505.2
Morigaon,26930,22495.47,432,3304.29,8,280.96,497,780.08,27867,26860.800000000003
Nagaon,86791,70922.82,1665,21299.33,28,1282.41,1995,7786.33,90479,101290.89000000001
Nalbari,54469,33202.44,641,5694.57,23,659,1035,2303.13,56168,41859.14
Sivasagar,43125,37761.99,1405,19497.43,27,2138.79,1666,5679.81,46223,65078.02
Sonitpur,69502,60407.64,1919,22633.85,133,4664.65,2480,11344.74,74034,99050.87999999999
South Salmara,1375,3396.88,0,0,0,0,64,262.68,1439,3659.56
Tinsukia,56796,63128.81,2035,30994.64,108,7077.78,1354,12637.94,60293,113839.17
Udalguri,22155,15747.11,149,856.58,1,14.18,3643,2737.95,25948,19355.820000000003
West Karbi Anglong,1158,514.97,4,27.58,0,0,52,123.38,1214,665.9300000000001
