District,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production Amt,Dairy no,Dairy Amt,Farm Mechanisation No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt
Baksa,63,8.34,0,0,13,6.11,27,3.32,6,1.5,2,0.51,0,0,0,0,233,117.98,344,137.76
Barpeta,77,27.84,0,0,12,24.81,16,49.24,4,0.43,12,0.84,2,3.59,1,9,1156,543.18,1280,658.93
Biswanath,51,3.99,0,0,12,18.11,5,0,35,28.73,2,0.71,0,0,0,0,128,268.44,233,319.98
Bongaigaon,34,18.05,4,2.48,9,8.63,6,2.92,11,8.4,2,0.87,0,0,0,0,416,161.94,482,203.29
Cachar,118,29.54,0,0,12,29.31,14,45.97,42,8.89,45,9.04,2,609.2,0,0,1060,853.63,1293,1585.58
Charaideo,31,8.3,0,0,2,3.08,7,13.71,8,0,0,0,0,0,0,0,12,18.82,60,43.910000000000004
Chirang,39,3.32,0,0,1,0,0,0,2,0,0,0,0,0,1,0,342,167.15,385,170.47
Darrang,49,16.96,0,0,15,2.58,15,1.44,7,0.31,6,7.12,0,0,0,0,499,319.18,591,347.59000000000003
Dhemaji,50,5.99,0,0,3,6.84,7,0,22,0.5,4,14.38,0,0,0,0,63,55.31,149,83.02000000000001
Dhubri,248,15.23,0,0,26,0.56,17,1.76,30,0,4,0,0,0,1,0,29,42.77,355,60.32000000000001
Dibrugarh,141,34.36,2,20.09,12,24.33,28,11.11,24,7.56,9,14.29,1,8,4,3.83,1030,2292.7,1251,2416.27
Dima Hasao,26,11.7,0,0,27,29.5,0,0,20,24,8,0,0,0,0,0,141,89.74,222,154.94
Goalpara,189,35.48,0,0,83,31.9,5,0,3,0.02,5,2,0,0,0,0,522,370.06,807,439.46
Golaghat,26,14.08,0,0,18,11.57,9,1.1,10,7.23,2,2.1,0,0,0,0,941,887.93,1006,924.01
Hailakandi,31,20.57,0,0,7,17.1,1,0,7,2.02,1,0,0,0,0,0,149,77.22,196,116.91
Hojai,16,8.43,0,0,3,2.08,4,0.39,1,0.98,0,0,0,0,2,2.8,68,119.76,94,134.44
Jorhat,80,41.11,7,3.7,37,40.53,13,24.54,31,33.34,2,0.43,0,0,1,0.47,1091,1749.96,1262,1894.08
Kamrup Metro,115,46.01,0,0,47,39.42,7,9.35,21,0.67,7,2.16,0,0,0,0,1690,1247.2,1887,1344.81
Karbi Anglong,41,9.96,1,1,22,9.85,2,0.04,2,1.6,2,0,0,0,0,0,348,471.32,418,493.77
Karimganj,39,20.09,0,0,7,12.09,0,0,0,0,2,1.99,0,0,0,0,233,199.71,281,233.88
Kokrajhar,115,0.64,0,0,7,1.49,6,0,6,0,1,0,0,0,0,0,95,87.61,230,89.74
Lakhimpur,75,130,0,0,13,34.36,4,0.05,37,59.36,3,6,0,0,0,0,200,106.51,332,336.28000000000003
Majuli,5,0.66,0,0,0,0,2,0.15,0,0,0,0,0,0,0,0,0,0,7,0.81
Morigaon,98,31.19,0,0,35,15.98,13,18.45,17,1.01,15,11.73,0,0,0,0,318,122.53,496,200.89000000000001
Nagaon,46,30.39,1,1,39,67.94,8,6.52,3,2.28,7,37.27,0,0,0,0,1017,450.48,1121,595.88
Nalbari,248,71.18,0,0,104,41.67,10,14.5,27,0,18,20.58,0,0,0,0,900,578.23,1307,726.1600000000001
Sivasagar,105,20.12,0,0,14,14.3,20,17.26,56,4.09,0,0,0,0,0,0,363,407.35,558,463.12
Sonitpur,109,65.82,0,0,26,34.71,10,11.41,71,41.72,18,19.14,1,79.19,2,20,810,818.84,1047,1090.83
South Salmara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,86,43.5,4,24.85,21,42.67,10,10.09,22,16.4,2,1,0,0,0,0,1100,1425.39,1245,1563.9
Udalguri,97,24.76,0,0,1,5.18,7,1.48,30,20.53,3,0.07,0,0,0,0,198,96.6,336,148.62
West Karbi Anglong,0,0,0,0,2,1.61,0,0,0,0,0,0,0,0,0,0,0,0,2,1.61
