District,Agri (PS) Total O/S,Msme (PS) Total O/S,Other PS Total O/S,Total PS O/S
Baksa,46926,25794,1941,74661
Barpeta,119602,79064,5179,203845
Biswanath,56407,32258,2781,91446
Bongaigaon,29754,40919,13293,83966
Cachar,107774,153649,5578,267001
Charaideo,22275,11621,4000,37896
Chirang,29890,20326,1326,51542
Darrang,76951,50328,5181,132460
Dhemaji,43414,31549,2817,77780
Dhubri,84922,66362,3747,155031
Dibrugarh,145912,84694,16681,247287
Dima Hasao,3118,1692,1162,5972
Goalpara,50380,43228,2011,95619
Golaghat,155776,52444,12499,220719
Hailakandi,30568,25812,1534,57914
Hojai,55560,36838,2090,94488
Jorhat,133826,57742,25805,217373
Kamrup Metro,137488,144719,28315,310522
Karbi Anglong,42150,15504,3182,60836
Karimganj,66039,67580,1832,135451
Kokrajhar,32383,24698,1620,58701
Lakhimpur,106081,64801,7096,177978
Majuli,7008,4635,2868,14511
Morigaon,95426,27867,2544,125837
Nagaon,219895,90479,22262,332636
Nalbari,82125,56168,7590,145883
Sivasagar,94934,46223,15701,156858
Sonitpur,94377,74034,13209,181620
South Salmara,2467,1439,152,4058
Tinsukia,97368,60293,13112,170773
Udalguri,49053,25948,2196,77197
West Karbi Anglong,13666,1214,734,15614
