district,Export Credit A/C,Export Credit Amt.,Education (PS) A/C,Education (PS) Amt.,Housing (PS) A/C,Housing (PS) Amt.,Social Infrastructure A/C,Social Infrastructure Amt.,Renewable Energy A/Cc,Renewable Energy Amt.,Informal Credit A/C,Informal Credit Amt.,Total Other PS Disb No.,Total Other PS Disb Amt.
Baksa,0,0,13,13.85,99,190,1,24,0,0,11,3.78,124,231.63
Barpeta,0,0,51,44.4,293,818.1,45,11.44,3,4.5,29,21.62,421,900.0600000000001
Biswanath,0,0,21,19.92,227,283.88,1,27.83,5,123.5,2,0.71,256,455.84
Bongaigaon,0,0,25,37.23,171,579.57,452,363.2,2,4.6,0,0,650,984.6
Cachar,0,0,317,184.17,524,1497.69,0,0,0,0,15,32.17,856,1714.0300000000002
Charaideo,0,0,10,6.86,30,51.29,53,12.98,3,3.45,0,0,96,74.58
Chirang,0,0,7,5.13,93,301.23,0,0,2,0,0,0,102,306.36
Darrang,0,0,50,59.18,112,274.18,232,77.29,1,1.5,9,12.31,404,424.46000000000004
Dhemaji,0,0,18,14.4,98,133.22,6,6.07,3,1.35,0,0,125,155.04
Dhubri,0,0,31,32.51,198,315.74,0,0,3,1.4,0,0,232,349.65
Dibrugarh,0,0,132,145.39,234,902.72,87,41.41,8,13.52,23,33.16,484,1136.2000000000003
Dima Hasao,0,0,4,3.89,62,119.22,0,0,0,0,3,4.12,69,127.23
Goalpara,0,0,9,9.3,39,55.71,1,5,1,0.43,0,0,50,70.44000000000001
Golaghat,0,0,62,69.66,174,378.89,43,87.38,12,17.85,4,2.45,295,556.23
Hailakandi,0,0,6,9.22,215,208.17,0,0,0,0,2,8.6,223,225.98999999999998
Hojai,0,0,18,18.71,74,184.09,0,0,1,1.5,0,0,93,204.3
Jorhat,0,0,136,207.6,442,665.68,5,106.05,1,0.75,7,7.29,591,987.3699999999999
Kamrup Metro,0,0,412,270.36,348,500.87,1614,528.55,1,7.66,13,10.22,2388,1317.66
Karbi Anglong,0,0,17,11.32,402,3390.45,2,2.75,0,0,12,31.01,433,3435.53
Karimganj,0,0,15,14.64,70,86.52,0,0,0,0,3,3.9,88,105.06
Kokrajhar,0,0,12,26.3,118,340.93,1,1.47,2,2.25,0,0,133,370.95000000000005
Lakhimpur,0,0,45,39.16,278,1443.79,69,25.9,3,3.48,2,5.9,397,1518.2300000000002
Majuli,0,0,7,2.41,20,36.61,210,70,0,0,0,0,237,109.02
Morigaon,0,0,15,34.56,98,292.8,0,0,1,1.5,9,8.15,123,337.01
Nagaon,0,0,47,86.03,268,715.39,201,67.14,3,3.25,9,9.16,528,880.9699999999999
Nalbari,0,0,56,69.92,226,485.27,214,68.16,2,11.5,3,3.18,501,638.0299999999999
Sivasagar,0,0,52,75.9,260,631.2,0,0,4,6,17,27.75,333,740.85
Sonitpur,0,0,67,100.75,370,853.87,384,155.94,4,4.51,12,28.82,837,1143.8899999999999
South Salmara,0,0,0,0,7,0.79,0,0,0,0,0,0,7,0.79
Tinsukia,0,0,86,136.76,249,1115.9,300,78.69,13,20.09,16,22.43,664,1373.8700000000001
Udalguri,0,0,37,42.39,157,414.7,1,0.4,0,0,0,0,195,457.48999999999995
West Karbi Anglong,0,0,2,2.2,141,1158.25,0,0,0,0,0,0,143,1160.45
