district,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Baksa,899879,13739,29400
Barpeta,2028787,33866,89651
Biswanath,645789,10382,49947
Bongaigaon,700054,19466,72451
Cachar,1849630,43997,490196
Charaideo,345009,1456,30449
Chirang,604281,6662,26418
Darrang,1163663,21896,100313
Dhemaji,979545,13979,108085
Dhubri,1997147,42147,260396
Dibrugarh,1533353,37271,246391
Dima Hasao,180131,21752,49719
Goalpara,1005367,14361,66216
Golaghat,1315932,47465,317667
Hailakandi,746136,19029,183156
Hojai,830232,55130,177547
Jorhat,1247802,33613,366305
Kamrup Metro,1968675,45662,149387
Karbi Anglong,529845,38690,46869
Karimganj,1217375,25049,350268
Kokrajhar,836996,23698,30892
Lakhimpur,1183832,25854,221521
Majuli,152144,2583,20399
Morigaon,1287681,29371,436958
Nagaon,2703273,252028,678961
Nalbari,899341,34350,75951
Sivasagar,982847,20325,272350
Sonitpur,1409527,93524,187576
South Salmara,159858,6783,7994
Tinsukia,1350731,24984,296331
Udalguri,842100,12174,22714
West Karbi Anglong,196271,8356,7920
