district,Small and Marginal Farmers No.,Small and Marginal Farmers Amt.,Scheduled Castes No.,Scheduled Castes Amt.,Scheduled Tribes No.,Scheduled Tribes Amt.,DRI scheme No.,DRI scheme Amt.,Self Help Groups No.,Self Help Groups Amt.,women beneficiaries No.,women beneficiaries Amt.,MiNo.rity communities No.,MiNo.rity communities Amt.,PMJDY No.,PMJDY Amt.,Others No.,Others Amt.,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt.
Baksa,28284,16975.37,4760,3140.93,14525,9247.69,14,0.94,3132,2452.2,5473,2494.95,12197,10650.26,31,0.55,3225,1781.92,71641,46744.81
Barpeta,52723,29243.54,15629,8368.64,6302,3907.19,146,16.56,3980,3481.45,31302,13142.49,32534,30436.21,112,1.99,39483,21304.94,182211,109903.01
Biswanath,33524,17047.67,9484,4746.17,11287,5811.13,52,0.85,5172,3800.99,8894,4131.3,7146,4463.2,19,0.03,10449,7293.63,86027,47294.969999999994
Bongaigaon,22058,9815.19,7794,5250.84,2517,3277.6,69,1.77,1300,1226.68,31587,8135.14,6862,11739.31,53,0.39,18620,12332.12,90860,51779.04
Cachar,67780,43310.53,49211,29006.46,8719,6885.71,465,3.12,3795,2841.61,37652,19186.73,27180,29119.21,204,6,86526,65433.68,281532,195793.05
Charaideo,16849,9001.56,1624,1196.35,1242,827.63,43,0.29,1615,1304.12,4691,2194.57,1056,1216.66,9,0.02,5023,4448.76,32152,20189.96
Chirang,19023,9884.81,3955,2349.77,13126,9038.37,20,0.17,1981,1734.99,6239,3376.57,9415,6471.92,8,0.15,7159,4363.76,60926,37220.51
Darrang,43894,25836.95,3916,2507.97,3030,1962.98,78,5.07,3243,2956.91,19754,8488.61,25311,22971.25,22,0.33,29541,15463.13,128789,80193.20000000001
Dhemaji,28271,16887.94,5768,3575.33,20150,12533.29,106,0.78,3807,2684.61,6976,3647.58,2340,2059.34,14,0.07,7294,6909.49,74726,48298.42999999999
Dhubri,40794,21208.64,11631,6683.99,3348,1986.42,150,9.27,2752,1747.14,19591,11460.43,20887,16749.75,82,1.47,59722,30950.57,158957,90797.68
Dibrugarh,97028,54667.65,15863,10497.13,17460,12497.28,257,6.95,3806,2947.82,43674,18186.16,6454,11214.24,74,1.61,28775,25089.31,213391,135108.15000000002
Dima Hasao,3704,3590.19,1054,1230.33,2279,3302.87,58,0.12,972,702.9,2260,1259.37,1181,1786.75,4,0.07,3217,3684.58,14729,15557.179999999998
Goalpara,31242,15710.29,5849,3371.5,15554,7779.73,68,1.69,2767,1997.62,12569,5711.01,15074,12333.39,63,1.51,16859,10428.41,100045,57335.149999999994
