District,Christians No.,Christians Amt,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Total Minority Disb No.,Total Minority Disb Amt
Baksa,62,46.1,3480.57,5,10.33,3,0.95,0,0,8,6.11,9288,3544.06
Barpeta,32,22.83,9816.03,29,6.46,4,1.23,0,0,0,0,18669,9846.55
Biswanath,137,120.3,1381.06,8,3.2,13,13.23,0,0,4,17.54,3007,1535.33
Bongaigaon,230,191.25,4767.67,5,8.75,8,10.19,1,0.01,5,47.44,8133,5025.3099999999995
Cachar,804,635.21,14810.15,14,25.03,14,16.83,0,0,12,66.01,27301,15553.230000000001
Charaideo,25,21.12,243.73,19,13,1,0.45,2,0.18,3,0.9,338,279.37999999999994
Chirang,607,139.89,1519.34,21,9.8,1,0,0,0,1,0.09,3156,1669.12
Darrang,31,9.34,6412.78,27,49.45,1,0,0,0,3,1.4,12921,6472.969999999999
Dhemaji,19,11.81,94.07,6,6.23,2,0.53,0,0,0,0,180,112.64
Dhubri,82,35.95,13864.44,3,0.85,3,0.53,1,0.4,8,6.54,28619,13908.710000000003
Dibrugarh,308,253.35,3015.78,92,197.06,97,113.28,0,0,21,122.45,3446,3701.92
Dima Hasao,1638,1032.8,119.74,2,0.02,3,11.75,0,0,0,0,1776,1164.31
Goalpara,787,353.22,4687.62,6,2,1,0,1,0.64,2,22.62,9682,5066.1
Golaghat,321,109.91,2235.11,54,54.45,14,9.17,1,0.14,4,37.42,3882,2446.2
Hailakandi,49,37.27,4021.53,1,0.15,1,1.5,0,0,0,0,10170,4060.4500000000003
Hojai,105,96.56,3390.15,5,10.43,12,4.19,0,0,0,0,9236,3501.33
Jorhat,232,151.31,1813.88,80,127.65,32,35.23,1,0,12,238.44,2327,2366.51
Kamrup Metro,234,179.67,7539.03,33,14.83,16,11.75,0,0.02,9,47.46,15419,7792.76
Karbi Anglong,849,687.84,163.79,30,31.71,3,0.45,1,0.3,4,0.13,1187,884.22
Karimganj,201,82.05,5999.56,6,10.55,6,2.02,0,0,0,0,11249,6094.180000000001
Kokrajhar,727,531.7,2566.71,2,0.5,2,2.55,1,10,1,0,6941,3111.46
Lakhimpur,195,113.07,2827.1,4,6.9,12,2.85,3,0.77,0,0,5538,2950.69
Majuli,6,0.29,6.14,2,1.87,0,0,0,0,0,0,21,8.3
Morigaon,21,21.96,3296.63,7,24.02,1,0,0,0,1,0.97,6815,3343.58
Nagaon,122,82.97,14630.79,11,4.01,56,38.18,2,0.95,7,4.59,41771,14761.490000000002
Nalbari,10,4.73,4129.32,3,5.81,5,5.38,0,0,3,7.15,6315,4152.389999999999
Sivasagar,95,52.01,3458.5,41,38.94,14,10.91,2,0,3,6.2,5180,3566.56
Sonitpur,307,535.83,3899.83,56,129.07,21,34.56,0,0,2,2.07,7056,4601.36
South Salmara,0,0,460.16,0,0,0,0,0,0,0,0,1044,460.16
Tinsukia,397,646.53,1208.07,145,138.76,47,126.16,0,0,8,71.06,2089,2190.58
Udalguri,3065,857.62,1455.83,6,2.19,1,0,0,0,2,0.58,5750,2316.22
West Karbi Anglong,99,150.32,16.23,0,0,0,0,1,0.42,0,0,132,166.96999999999997
