district,Sishu No.,Sishu Amt.,Kishore No.,Kishore Amt.,Tarun No.,Tarun Amt.,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Baksa,104,29.42,176,305.57,53,277.08,333,612.0699999999999
Barpeta,2385,682.03,465,830.23,99,620.7,2949,2132.96
Biswanath,208,55.47,314,323.19,65,205.09,587,583.75
Bongaigaon,1399,316.43,167,325.54,58,408.68,1624,1050.65
Cachar,550,173,687,1121.21,126,692.63,1363,1986.8400000000001
Charaideo,69,26.64,101,162.88,19,129.96,189,319.48
Chirang,67,24.86,147,273.34,27,183.64,241,481.84
Darrang,789,177.27,302,598.5,67,304.36,1158,1080.13
Dhemaji,286,67.55,305,380.55,68,196.14,659,644.24
Dhubri,297,77.53,393,535.07,79,368.81,769,981.4100000000001
Dibrugarh,1158,278.63,971,1462.7,302,1564.08,2431,3305.41
Dima Hasao,96,33.35,40,75.77,4,32.47,140,141.59
Goalpara,2189,479.89,149,272.83,29,142.22,2367,894.94
Golaghat,1624,443.98,425,572.96,87,427.61,2136,1444.5500000000002
Hailakandi,126,36.9,245,429.53,20,130.28,391,596.7099999999999
Hojai,238,54.45,383,562.35,109,548.07,730,1164.8700000000001
Jorhat,2123,557.52,626,980.69,232,1271.23,2981,2809.44
KARIMGANJ,869,220.88,269,394.83,69,247.54,1207,863.25
Kamrup,2262,663.03,983,1200.17,144,620.37,3389,2483.57
Kamrup Metro,3205,934.52,1281,1999.8,462,2858.97,4948,5793.289999999999
Karbi Anglong,417,106.18,160,301.66,54,393.17,631,801.01
Kokrajhar,242,55.69,147,221.4,30,189.2,419,466.29
Lakhimpur,442,147.51,615,879.57,175,739.5,1232,1766.58
Majuli,62,19.35,42,67.55,7,62.62,111,149.52
Morigaon,152,70.64,310,482.93,56,317.12,518,870.69
Nagaon,2538,691.25,665,1301.99,122,774.35,3325,2767.59
Nalbari,1328,384.91,289,391.24,40,239.47,1657,1015.6200000000001
Sivasagar,214,65.92,485,916.57,136,693.54,835,1676.03
Sonitpur,2504,618.87,676,1111.08,137,875.53,3317,2605.4799999999996
South Salmara,47,10.86,32,38.18,3,27.8,82,76.84
Tinsukia,602,179.63,803,1342.71,251,1493.14,1656,3015.4800000000005
Udalguri,203,55.33,169,295.28,21,154.27,393,504.88
West Karbi Anglong,85,19.85,13,30.81,3,22.85,101,73.50999999999999
